rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/explained_variance,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl
1341.3022,4872,1008,433.38,4915200,40,0.8579174429178238,0.2535758463541667,0.0003,390,0.2,0.05507870763540268,-0.00845406079559325,0.11503406407330961,-3.7686045994609594,0.024398068
1384.6929,4998,1008,442.88,5038080,41,0.8674481213092804,0.24828043619791668,0.0003,400,0.2,0.048917438834905624,-0.008055490446683205,0.10788124738222299,-3.765505770581464,0.02330252
1360.7948,5123,1007,437.32,5160960,42,0.8209815472364426,0.24594319661458333,0.0003,410,0.2,0.005210168659687042,-0.007851429730380914,0.10645536254829495,-3.7485521938900153,0.023294227
1293.7188,5249,1006,417.98,5283840,43,0.8245088905096054,0.25018961588541666,0.0003,420,0.2,0.01941569522023201,-0.008438416620944432,0.10870577276558227,-3.743459414554139,0.023909498
1392.9591,5372,1006,436.14,5406720,44,0.8718373328447342,0.24883544921875,0.0003,430,0.2,0.01581689529120922,-0.007736231660977258,0.11517493945585254,-3.716945683211088,0.02374204
1385.1661,5495,1006,440.1,5529600,45,0.8408583849668503,0.24859293619791667,0.0003,440,0.2,0.031882353127002716,-0.007617941381195124,0.10791671121585145,-3.7282288595164816,0.023871256
1395.2512,5618,1006,442.54,5652480,46,0.8329144716262817,0.25193196614583335,0.0003,450,0.2,0.017727041617035866,-0.008300295087616785,0.10386664303242772,-3.719190487874051,0.024539983
1403.7783,5744,1005,445.52,5775360,47,0.802724301815033,0.251533203125,0.0003,460,0.2,0.03136252239346504,-0.0074889566966703566,0.11806294512236491,-3.6919476017728448,0.024715027
1397.6846,5870,1004,437.3,5898240,48,0.8081588447093964,0.25666015625,0.0003,470,0.2,0.04486050456762314,-0.008173369856685896,0.11141314485750627,-3.680408978052437,0.025125412
1369.1703,5995,1004,428.84,6021120,49,0.7880847305059433,0.25225504557291667,0.0003,480,0.2,0.029972383752465248,-0.007678547023539674,0.11833946310556105,-3.6697745172306897,0.02479014
1381.3662,6121,1003,429.4,6144000,50,0.7955542057752609,0.25769612630208333,0.0003,490,0.2,0.08622688055038452,-0.007628088354419257,0.12540103318518958,-3.6667189886793494,0.025287831
1344.615,6247,1003,418.78,6266880,51,0.8288228511810303,0.25462158203125,0.0003,500,0.2,0.06257033348083496,-0.007991263971810743,0.11431209021383741,-3.6800912583371,0.024916837
1360.5624,6370,1003,420.02,6389760,52,0.850367933511734,0.25647705078125,0.0003,510,0.2,0.04606281965970993,-0.007756778194210104,0.11425729224196403,-3.667031955954929,0.025416791
1430.1742,6524,998,440.24,6512640,53,0.8654642105102539,0.2621435546875,0.0003,520,0.2,0.007107719779014587,-0.00818264690894163,0.11997035763032424,-3.6547767568255463,0.025867669
1444.9298,6650,997,444.9,6635520,54,0.8215367048978806,0.25739095052083333,0.0003,530,0.2,0.016346735879778862,-0.00800598285275555,0.11509022083705835,-3.6591232749198874,0.024874466
1412.2733,6774,997,435.32,6758400,55,0.7730948179960251,0.2560595703125,0.0003,540,0.2,0.014023544266819954,-0.007406657755788425,0.1134207405326985,-3.662175315221151,0.025082063
1445.5615,6904,996,449.4,6881280,56,0.7681777477264404,0.25822265625,0.0003,550,0.2,0.048538938164711,-0.007227282157709851,0.11781686924756893,-3.627366462362309,0.025651908
1433.5609,7031,996,448.2,7004160,57,0.808199867606163,0.2599593098958333,0.0003,560,0.2,0.060021139681339264,-0.007932347262030816,0.11657486821927401,-3.631166605912149,0.025734894
1341.4092,7158,995,414.88,7127040,58,0.7643164694309235,0.26064371744791665,0.0003,570,0.2,0.0745106190443039,-0.008202932051866204,0.10919788172119298,-3.622556803462406,0.026392154
1284.8912,7284,995,401.96,7249920,59,0.8219191431999207,0.26279052734375,0.0003,580,0.2,0.020283527672290802,-0.007935339847729967,0.147281385018238,-3.6089445883780717,0.026086377
1375.4163,7411,994,425.94,7372800,60,0.8752231076359749,0.25853759765625,0.0003,590,0.2,0.03214830905199051,-0.007259228391327876,0.13456434022586716,-3.597668392856916,0.025754238
1386.6411,7534,994,433.22,7495680,61,0.861980676651001,0.25763102213541667,0.0003,600,0.2,0.03298433870077133,-0.007832878401256191,0.12545575254878108,-3.593662073127925,0.025815362
1295.919,7660,994,412.54,7618560,62,0.8488763123750687,0.25929931640625,0.0003,610,0.2,0.03348840773105621,-0.007518835785576812,0.1314582904218696,-3.5689741441731653,0.025952868
1360.2423,7787,994,426.8,7741440,63,0.8748449832201004,0.25697509765625,0.0003,620,0.2,0.024119842797517776,-0.007919110307696731,0.1198682156536961,-3.566903359144926,0.025885044
1382.7312,7913,993,425.5,7864320,64,0.8637942671775818,0.2588346354166667,0.0003,630,0.2,0.0029330402612686157,-0.008431200844230867,0.11360817634316239,-3.567962005523344,0.025636278
1385.005,8039,993,426.94,7987200,65,0.8679942935705185,0.25419189453125,0.0003,640,0.2,0.027646880596876144,-0.007605823109503642,0.1304934678755429,-3.5499949517473577,0.025335444
1338.6313,8166,993,409.28,8110080,66,0.8520451188087463,0.25994140625,0.0003,650,0.2,0.05525677278637886,-0.007268378503055525,0.13909971787972608,-3.54728470561405,0.026259184
1371.8053,8293,992,424.68,8232960,67,0.8014049977064133,0.25964762369791666,0.0003,660,0.2,0.04451535642147064,-0.006920503501366208,0.16412250408990076,-3.5339401636893553,0.026698874
