rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss
1564.3661,57,432.73333333333335,7151,979,7004160,0.27213948567708335,-0.0006711706519126892,-0.005959107751423289,0.028818449,0.06858492314670002,560,0.7879658341407776,0.2,0.0003,-3.444471798762679
1425.797,58,394.8,7276,979,7127040,0.2747607421875,-0.005559062585234642,-0.007305185917988032,0.02882529,0.06616209810881021,570,0.7756901830434799,0.2,0.0003,-3.455700531763335
1603.1229,59,449.6,7400,979,7249920,0.27384358723958335,0.023902490735054016,-0.006331454112963305,0.028702335,0.06519851400245291,580,0.7945636957883835,0.2,0.0003,-3.4356649558246137
1565.9706,60,439.8,7527,979,7372800,0.2716398111979167,-0.009570224210619926,-0.006952666777542618,0.028791599,0.06229737114122448,590,0.8290406465530396,0.2,0.0003,-3.402682183968524
1434.3771,61,397.26666666666665,7652,979,7495680,0.27557779947916666,-0.0073719508945941925,-0.006778550276709818,0.029875668,0.058694658707390775,600,0.7554271966218948,0.2,0.0003,-3.3910420640806356
1465.2206,62,411.3333333333333,7778,979,7618560,0.26996744791666666,-0.005831997841596603,-0.006341816079808874,0.028620185,0.06993091219483176,610,0.770331397652626,0.2,0.0003,-3.368425563288232
1399.8987,63,394.26666666666665,7903,979,7741440,0.27067138671875,0.031217826530337334,-0.0065414372019282985,0.028638354,0.062044206313730685,620,0.8262929618358612,0.2,0.0003,-3.359244862596194
1411.1177,64,394.0,8027,979,7864320,0.27867919921875,0.019425759091973305,-0.00653721727968635,0.029942147,0.06571570899546107,630,0.736379086971283,0.2,0.0003,-3.33486410514762
1473.4668,65,408.4,8154,979,7987200,0.27929768880208333,0.008673964068293571,-0.006673670492621871,0.029360132,0.06743020514346426,640,0.7906123548746109,0.2,0.0003,-3.3134520842259128
1626.7454,66,447.06666666666666,8283,979,8110080,0.2798356119791667,0.020726948976516724,-0.006576624837919856,0.030178027,0.06303010097661171,650,0.7501683086156845,0.2,0.0003,-3.3133767022937537
1462.0316,67,408.2,8409,979,8232960,0.27748209635416665,-0.0051377322524785995,-0.006771103061400936,0.029932372,0.06743925596044088,660,0.8069403916597366,0.2,0.0003,-3.3071610853200157
1455.2366,68,397.3333333333333,8536,978,8355840,0.27754069010416665,0.022158127278089523,-0.0062289930720604994,0.030145967,0.06010663166234735,670,0.811269611120224,0.2,0.0003,-3.2753049112235506
1263.5365,69,342.8,8661,978,8478720,0.2766316731770833,0.012954473495483398,-0.006515029956754006,0.029723024,0.056869620761766174,680,0.7654573321342468,0.2,0.0003,-3.2628104873994985
1575.7344,70,437.6,8815,975,8601600,0.27775227864583335,0.03299734741449356,-0.005813845933216726,0.030371694,0.07327606327511603,690,0.786280021071434,0.2,0.0003,-3.22995649566253
1447.1915,71,398.4,8941,975,8724480,0.2777815755208333,-0.015491044148802757,-0.005722845174835432,0.029492693,0.07143592078748043,700,0.8017827272415161,0.2,0.0003,-3.219649648182094
1475.9576,72,418.6,9081,974,8847360,0.28112223307291667,0.005747484974563122,-0.005776819756683835,0.030745335,0.06830768279134646,710,0.781071662902832,0.2,0.0003,-3.2046550403038663
1395.4861,73,382.2,9207,974,8970240,0.28,0.004154296591877937,-0.005890116338208221,0.03025987,0.06182814651285298,720,0.7711988538503647,0.2,0.0003,-3.178197484724224
1507.7408,74,409.8666666666667,9332,974,9093120,0.2814436848958333,0.006851240061223507,-0.005926421626292419,0.031533714,0.06353537999117785,730,0.7693391442298889,0.2,0.0003,-3.1806153783823055
1459.4712,75,405.6,9485,971,9216000,0.2812418619791667,0.018185921013355255,-0.005858501380074207,0.031210484,0.061433405645075254,740,0.7984979152679443,0.2,0.0003,-3.142753515044848
1630.1669,76,450.0,9610,971,9338880,0.286142578125,0.014434979297220707,-0.006528301003842595,0.031213539,0.07107752068244735,750,0.7924289554357529,0.2,0.0003,-3.128488824653129
1380.9269,77,383.73333333333335,9745,970,9461760,0.27681396484375,0.023457497358322144,-0.0055660257468783435,0.030874299,0.060285963037798256,760,0.718073844909668,0.2,0.0003,-3.139131779409945
1412.0573,78,387.8,9872,970,9584640,0.2791341145833333,0.17258116602897644,-0.005528129433138626,0.030412119,0.06680711988898111,770,0.8365747332572937,0.2,0.0003,-3.131812817354997
1507.9377,79,411.2,9998,970,9707520,0.28701090494791665,0.0006559863686561584,-0.0065479955351959995,0.03247901,0.06621149531148451,780,0.8448416143655777,0.2,0.0003,-3.0944445258999864
1288.5137,80,349.3333333333333,10124,970,9830400,0.28032470703125,-0.03255247324705124,-0.0060079305485245035,0.031644184,0.06639147143466592,790,0.8190737664699554,0.2,0.0003,-3.0783195647969843
1369.3055,81,367.2,10250,970,9953280,0.28291748046875,0.03073328360915184,-0.005591503395444306,0.032559942,0.0687224680747507,800,0.8222068101167679,0.2,0.0003,-3.0719285505264997
1604.6732,82,431.53333333333336,10377,970,10076160,0.27896240234375,0.07011708617210388,-0.0055333826473118585,0.031245591,0.0655822547324351,810,0.8369681388139725,0.2,0.0003,-3.0735592292249203
1525.829,83,412.73333333333335,10504,970,10199040,0.2851944986979167,0.0248207189142704,-0.00578819598322904,0.031969335,0.06199025228942143,820,0.7829433679580688,0.2,0.0003,-3.0859853217750786
1548.9751,84,432.46666666666664,10631,970,10321920,0.28603434244791665,0.03263656422495842,-0.006014806075618253,0.032260742,0.07462627834169931,830,0.7994540631771088,0.2,0.0003,-3.045309927587708
1276.1847,85,343.4,10757,970,10444800,0.28059244791666665,-0.017881937325000763,-0.005371395428525527,0.03187478,0.07335387181951471,840,0.7901797145605087,0.2,0.0003,-3.0352660860245426
1465.9587,86,393.73333333333335,10882,971,10567680,0.28626627604166666,-0.001303638331592083,-0.004834033925635595,0.03242604,0.07202690268240985,850,0.8019085228443146,0.2,0.0003,-3.0199003652731577
1313.0388,87,351.6666666666667,11008,971,10690560,0.2888875325520833,-0.01755613088607788,-0.005525090067070171,0.033284083,0.06889914811613077,860,0.7923276275396347,0.2,0.0003,-3.03130452953279
1347.0269,88,360.8666666666667,11136,970,10813440,0.2831803385416667,0.031209800392389297,-0.005531861824492807,0.03347036,0.06457530684138571,870,0.8553979992866516,0.2,0.0003,-2.983975878842175
1083.6487,89,300.26666666666665,11262,971,10936320,0.2816162109375,-0.001282569020986557,-0.0053831719299523685,0.031714607,0.07155667584520416,880,0.8540873229503632,0.2,0.0003,-2.980572164095938
1415.4369,90,382.6666666666667,11387,971,11059200,0.28880940755208334,0.010948516428470612,-0.0060898748765733516,0.032860328,0.07752358859079929,890,0.8503123670816422,0.2,0.0003,-2.957780213964482
1543.3384,91,416.73333333333335,11514,971,11182080,0.28630696614583334,0.0521700382232666,-0.005542469693803772,0.03241144,0.07839459141119733,900,0.7737601846456528,0.2,0.0003,-2.972305435227851
1322.5833,92,365.46666666666664,11639,971,11304960,0.28500569661458336,-0.0013049151748418808,-0.005408389362937669,0.033203956,0.07187355512282617,910,0.8323818445205688,0.2,0.0003,-2.9321253998205066
1486.7759,93,404.53333333333336,11764,971,11427840,0.2853092447916667,0.031262900680303574,-0.00562911840277593,0.031969804,0.06902190125741375,920,0.7948665171861649,0.2,0.0003,-2.9234619931379955
1436.8494,94,385.6666666666667,11890,971,11550720,0.28991455078125,0.036399729549884796,-0.005531052099386215,0.033540044,0.07044506672037339,930,0.8204464465379715,0.2,0.0003,-2.9326870767772197
1439.0697,95,400.93333333333334,12017,971,11673600,0.28197591145833334,-0.01224747858941555,-0.0050313422818908295,0.032694448,0.06223429220767381,940,0.7829701751470566,0.2,0.0003,-2.920641229103009
1490.5946,96,402.8,12143,971,11796480,0.2849560546875,0.028876466676592827,-0.005621150325678173,0.032018587,0.07311131219515422,950,0.7999722212553024,0.2,0.0003,-2.892728395834565
1337.6805,97,371.0,12269,971,11919360,0.28436116536458333,0.013362002559006214,-0.00516643938248914,0.032704815,0.07002584126089156,960,0.8379490524530411,0.2,0.0003,-2.8678637181346613
1516.1024,98,410.4,12397,971,12042240,0.2859879557291667,0.12478487193584442,-0.005255609576003432,0.03374566,0.08467997375958172,970,0.773130938410759,0.2,0.0003,-2.865882560921212
1304.6382,99,349.8666666666667,12550,969,12165120,0.2897037760416667,0.04724152386188507,-0.005786044947957029,0.035096765,0.07834262316857349,980,0.7943941801786423,0.2,0.0003,-2.8540823094546797
1632.2623,100,432.6666666666667,12676,969,12288000,0.288310546875,0.04447750002145767,-0.006055153184637068,0.03370212,0.06992197755146966,990,0.7866354733705521,0.2,0.0003,-2.8790112387140594
1491.1508,101,407.8,12801,969,12410880,0.2842513020833333,-0.02496418170630932,-0.0052773727207386404,0.032608524,0.06426297295402036,1000,0.8181183338165283,0.2,0.0003,-2.857014389336109
1271.0305,102,345.73333333333335,12929,969,12533760,0.28988525390625,0.012543780729174614,-0.005458360493994405,0.033489887,0.07417636026623464,1010,0.825620487332344,0.2,0.0003,-2.82491107010593
1335.9413,103,354.93333333333334,13069,968,12656640,0.28747395833333333,-0.031881626695394516,-0.00569573753883257,0.033461213,0.06935383988510391,1020,0.8224647492170334,0.2,0.0003,-2.816002354932328
1540.7472,104,417.6666666666667,13196,968,12779520,0.28988525390625,-0.0047738999128341675,-0.005403901394932594,0.033530403,0.07513995449228483,1030,0.8047935664653778,0.2,0.0003,-2.787200379918019
1625.7439,105,432.0,13323,968,12902400,0.2829768880208333,-0.001983063295483589,-0.005044821425659999,0.032467242,0.0734981392287106,1040,0.8091715425252914,0.2,0.0003,-2.8011719563851756
1482.6019,106,404.4,13449,968,13025280,0.2889127604166667,0.006277761422097683,-0.005379179254117237,0.033381287,0.07477655239131611,1050,0.7838319689035416,0.2,0.0003,-2.802730118855834
1594.8097,107,426.73333333333335,13574,968,13148160,0.28714599609375,0.0296514630317688,-0.0056915226422885705,0.03392848,0.06994143568663276,1060,0.7650362849235535,0.2,0.0003,-2.8157240013281504
1491.3024,108,394.53333333333336,13700,968,13271040,0.2870304361979167,0.014680403284728527,-0.005531157920134622,0.033191442,0.0647125257491037,1070,0.8217308074235916,0.2,0.0003,-2.768854876582821
1664.2662,109,440.6,13829,968,13393920,0.286005859375,0.02789152041077614,-0.0054315138061610925,0.03412932,0.06771191144129261,1080,0.7897072732448578,0.2,0.0003,-2.768773839101195
1511.9407,110,396.46666666666664,13957,968,13516800,0.28561848958333336,-0.0164751335978508,-0.005390426598666333,0.032763764,0.06407692429046923,1090,0.7950207591056824,0.2,0.0003,-2.7651394167666634
1488.278,111,391.8,14110,966,13639680,0.29009847005208333,0.0023749880492687225,-0.005819390731473201,0.034458004,0.07661988451058278,1100,0.7961559891700745,0.2,0.0003,-2.745175726264715
1689.1707,112,444.26666666666665,14238,966,13762560,0.2846240234375,0.06027323752641678,-0.005930804466800813,0.034309458,0.07036425300238382,1110,0.8249042183160782,0.2,0.0003,-2.7193476100390157
1447.7771,113,383.3333333333333,14392,964,13885440,0.27861979166666667,0.013468935154378414,-0.005057920434768069,0.032050412,0.0632898391818162,1120,0.7995008826255798,0.2,0.0003,-2.7212295959393185
1394.6893,114,374.46666666666664,14522,964,14008320,0.2844930013020833,0.04989686235785484,-0.00514818688368905,0.034089956,0.07177268104816903,1130,0.779818207025528,0.2,0.0003,-2.6883250192428627
1472.6779,115,398.06666666666666,14648,964,14131200,0.2818147786458333,0.045174919068813324,-0.004895080630327963,0.033537816,0.07566940006673879,1140,0.812815248966217,0.2,0.0003,-2.673432920612395
1262.2711,116,338.53333333333336,14774,964,14254080,0.28950439453125,-0.01576266810297966,-0.004777745079203062,0.034395184,0.08098574913213573,1150,0.7913159430027008,0.2,0.0003,-2.652721102125943
