time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/clip_range
4662,4300800,35,450.0,1212.0381,922,0.8205987811088562,0.09925736861902502,0.04063771292567253,0.11556559244791667,-0.0005743972933790549,3600,0.013297396,0.0003,-2.2201291143211224,0.2
4825,4423680,36,450.0,1181.3138,916,0.8012968450784683,0.11467481261369054,0.032527584582567215,0.103154296875,-0.00035444705818008513,3610,0.014290493,0.0003,-2.262452463687708,0.2
4960,4546560,37,450.0,1171.0356,916,0.8081658780574799,0.08999266814083967,0.020718486979603767,0.1079296875,-0.0010574085005706972,3620,0.012557953,0.0003,-2.310656553233663,0.2
5096,4669440,38,450.0,1219.4102,916,0.834434449672699,0.10177065556412951,0.05440809205174446,0.11059651692708333,-0.0007847009825673012,3630,0.013705235,0.0003,-2.28046600409473,0.2
5231,4792320,39,450.0,1162.3737,916,0.8840632289648056,0.07995075764042364,-0.0027610366232693195,0.122099609375,-0.0010424578520966557,3640,0.014055153,0.0003,-2.2949788552646835,0.2
5365,4915200,40,450.0,1173.4738,916,0.8397089689970016,0.09397577607863544,-0.004049122333526611,0.11409261067708333,-0.0010671305348720732,3650,0.014978293,0.0003,-2.2607993431265156,0.2
5501,5038080,41,450.0,1114.2925,915,0.8339845836162567,0.08462561377261106,0.003617890179157257,0.10421875,-0.0004378727441144292,3660,0.01772616,0.0003,-2.2786230015630524,0.2
5644,5160960,42,450.0,1098.3386,914,0.8135159611701965,0.0648592180274621,0.014498625881969929,0.12365641276041667,-0.0034326864817921885,3670,0.13360707,0.0003,-2.236820290448765,0.2
5780,5283840,43,450.0,1070.8965,914,0.7589785903692245,0.09467187475165702,0.00183892622590065,0.13957600911458334,0.012839877538074992,3680,0.06762782,0.0003,-2.2012693830765784,0.2
5914,5406720,44,450.0,1079.6648,914,0.7897027134895325,0.07277323702047094,0.00942939892411232,0.1262353515625,-0.0021724656078367845,3690,0.022021135,0.0003,-2.22975107109795,0.2
6049,5529600,45,450.0,1068.0321,914,0.7493679821491241,0.08478410887919988,0.06063456833362579,0.13024169921875,-0.00137763724867303,3700,0.022826409,0.0003,-2.1785569124110045,0.2
6184,5652480,46,450.0,1054.0917,913,0.8027718216180801,0.07254760059113323,0.030544616281986237,0.14041015625,0.001202462502524213,3710,0.032450356,0.0003,-2.1540446062510212,0.2
