rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
1383.5741,6856,6512640,53,949,411.24,-0.006974943584676415,0.025151273,520,0.2,0.7475756406784058,0.09273242950439453,0.10197236802099117,0.0003,-3.5370793215930463,0.2594352213541667
1377.0106,6984,6635520,54,949,405.22,-0.00757555900039127,0.026610047,530,0.2,0.8007188141345978,0.017168685793876648,0.10857186800082369,0.0003,-3.5314892530441284,0.26766764322916664
1445.6775,7129,6758400,55,947,426.96,-0.008035333559619176,0.026367517,540,0.2,0.8063737452030182,0.00517767108976841,0.10427523683261825,0.0003,-3.530580121576786,0.26848876953125
1455.1425,7256,6881280,56,948,423.12,-0.0069506479512832205,0.026207043,550,0.2,0.7232738435268402,0.019818827509880066,0.10853587677294854,0.0003,-3.5179034990196425,0.26862223307291666
1459.0691,7386,7004160,57,948,430.7,-0.007778585364812898,0.026862359,560,0.2,0.741837352514267,-0.027149729430675507,0.11117987196368631,0.0003,-3.513816749453545,0.2680509440104167
1477.2621,7516,7127040,58,948,434.8,-0.007318824070522775,0.026374746,570,0.2,0.7830933630466461,0.009285781532526016,0.10728865871365997,0.0003,-3.511398482993245,0.26305989583333333
1455.8693,7644,7249920,59,948,423.74,-0.007254776310704377,0.027545843,580,0.2,0.7639986723661423,-0.0089714415371418,0.11666154992999508,0.0003,-3.5072628553584217,0.2710953776041667
1370.4808,7774,7372800,60,948,406.78,-0.007383975286784334,0.027495487,590,0.2,0.7900377213954926,0.06526024639606476,0.11747792736801785,0.0003,-3.5040457829336327,0.27207600911458335
1438.8065,7902,7495680,61,948,424.7,-0.007233178933341453,0.02703747,600,0.2,0.8003080785274506,0.04832901433110237,0.11576995379223566,0.0003,-3.488986554307242,0.2676497395833333
1423.1659,8029,7618560,62,948,416.68,-0.007330340666691579,0.027552051,610,0.2,0.8129348009824753,0.1045176163315773,0.11230142494673298,0.0003,-3.47303867533803,0.26911539713541666
1419.6553,8156,7741440,63,949,413.64,-0.006910964540505423,0.027277075,620,0.2,0.7955623120069504,-0.014874957501888275,0.12464994579553604,0.0003,-3.472081686519086,0.26968180338541664
1431.8846,8286,7864320,64,949,420.72,-0.006948448072920049,0.028127056,630,0.2,0.755252867937088,0.013890698552131653,0.13589113952233067,0.0003,-3.463478383459151,0.2728759765625
1403.0845,8444,7987200,65,945,407.12,-0.0071615275208144645,0.028527634,640,0.2,0.7781451642513275,0.05276333913207054,0.11994942010273614,0.0003,-3.444914245245357,0.275546875
1448.7361,8573,8110080,66,945,417.5,-0.007392513913097597,0.02789027,650,0.2,0.7951429486274719,-0.0025443807244300842,0.11334282685721216,0.0003,-3.4382156432047486,0.27456298828125
