rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/loss
1441.5962,7864320,971,446.04,8093,64,0.10464023212567554,-0.0078927505612531,0.0003,0.8630447536706924,0.26649576822916665,0.2,-3.580781786305209,630,0.02732372,0.016110118478536606
1404.728,7987200,971,428.32,8220,65,0.09912257782537684,-0.007059626808131725,0.0003,0.8783793523907661,0.25640543619791667,0.2,-3.5550993006676435,640,0.025927508,0.025791997089982033
1417.0061,8110080,971,433.44,8349,66,0.10748057970267837,-0.007835560917331653,0.0003,0.8768454864621162,0.26362711588541665,0.2,-3.552980589630703,650,0.026884468,0.0028569940477609634
1397.4984,8232960,971,422.3,8477,67,0.09344810912303123,-0.007684965495277538,0.0003,0.86651311814785,0.2627156575520833,0.2,-3.5407611841956776,660,0.027034435,-0.025669831782579422
1312.686,8355840,971,398.74,8605,68,0.10440180901350686,-0.0076359797526674815,0.0003,0.8563162237405777,0.2620768229166667,0.2,-3.5290365891655284,670,0.02703186,-0.0033986829221248627
1379.0687,8478720,970,424.96,8734,69,0.11589214079193577,-0.007232678180056003,0.0003,0.8591948598623276,0.26126546223958336,0.2,-3.532393179697295,680,0.02690783,0.01702924445271492
1390.3601,8601600,970,421.82,8861,70,0.10067018172184665,-0.007628950182249052,0.0003,0.8851441890001297,0.26491129557291665,0.2,-3.5190454697733125,690,0.026712155,0.04510749876499176
1346.7499,8724480,970,411.44,8986,71,0.09401648149238705,-0.00707408880349855,0.0003,0.8865392357110977,0.2596142578125,0.2,-3.513299289345741,700,0.026632845,0.04206407070159912
1344.5796,8847360,970,410.7,9113,72,0.10099010389734758,-0.007027577941268343,0.0003,0.8820271193981171,0.2620743815104167,0.2,-3.508179383215805,710,0.026483389,0.09491555392742157
1340.785,8970240,970,409.58,9240,73,0.1148763060112348,-0.007366940805010624,0.0003,0.8749992102384567,0.26309895833333335,0.2,-3.507964285115401,720,0.027164312,-0.007688254117965698
1425.3364,9093120,970,437.02,9366,74,0.12479756684610038,-0.007005782769853492,0.0003,0.9018545150756836,0.26298095703125,0.2,-3.486809829125802,730,0.02700508,0.019364360719919205
1377.0376,9216000,970,417.36,9492,75,0.1007624538411134,-0.007118558362241553,0.0003,0.8338669240474701,0.2626261393229167,0.2,-3.475688874820868,740,0.026913524,0.010849419981241226
1355.1562,9338880,971,409.98,9617,76,0.11896055675063205,-0.006616091719358034,0.0003,0.8705532848834991,0.2633056640625,0.2,-3.4801468223209184,750,0.02705052,0.11375720798969269
1361.4354,9461760,971,404.44,9743,77,0.11296143769781337,-0.007265474684451571,0.0003,0.8563229888677597,0.2629646809895833,0.2,-3.474414453171194,760,0.027021613,0.00606827437877655
1396.8843,9584640,971,426.98,9868,78,0.12002573626455462,-0.007379922627036043,0.0003,0.8672835975885391,0.26898274739583333,0.2,-3.473241553865373,770,0.028235635,0.012615908868610859
1359.4141,9707520,971,417.88,9996,79,0.10523973800004266,-0.007516091006458131,0.0003,0.8597643226385117,0.26609375,0.2,-3.4629833438744146,780,0.027601844,0.041942302137613297
1329.7312,9830400,971,410.08,10123,80,0.10965810940261388,-0.007202898012437799,0.0003,0.8521233946084976,0.2623592122395833,0.2,-3.461329941911002,790,0.02737343,0.030840493738651276
1387.8165,9953280,968,423.04,10272,81,0.10544528454095901,-0.007244417454397384,0.0003,0.8669234663248062,0.26256917317708334,0.2,-3.453828524065514,800,0.027055176,0.007431309670209885
1352.28,10076160,969,407.1,10398,82,0.1129077602980154,-0.00698744043344656,0.0003,0.8648837357759476,0.26502685546875,0.2,-3.4389953527972104,810,0.027761662,0.002284631133079529
1431.8494,10199040,968,434.22,10525,83,0.1116076001127173,-0.006578703681916522,0.0003,0.8724841177463531,0.2671875,0.2,-3.4285021675378085,820,0.028146291,-0.01065627858042717
