rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/learning_rate
410.8,956,21381120,174,1617.3617,22345,1730,-1.9553738244498768,0.018790483474731445,0.035578933,-0.003445271921082167,0.8524778336286545,0.2,0.2707950846354167,0.07239822949488978,0.0003
360.26666666666665,956,21504000,175,1394.3401,22472,1740,-1.962568816387405,0.08430486172437668,0.035334956,-0.003456372343189287,0.8607861399650574,0.2,0.2720743815104167,0.07226340834875979,0.0003
401.26666666666665,956,21626880,176,1554.2294,22603,1750,-1.9523841990157962,0.14628276228904724,0.03355751,-0.0026580983325766284,0.8448392301797867,0.2,0.26701741536458334,0.06619104724003895,0.0003
358.6,956,21749760,177,1437.1406,22731,1760,-1.9540729551948608,0.033130861818790436,0.035855476,-0.003634628000469699,0.8561587482690811,0.2,0.27337646484375,0.07468994246543541,0.0003
358.0,956,21872640,178,1443.471,22858,1770,-1.9153493573827047,0.038144536316394806,0.036443546,-0.003690509501672447,0.8434458374977112,0.2,0.2744596354166667,0.07592633781062129,0.0003
272.8,956,21995520,179,1108.0634,22985,1780,-1.9350978952956697,-0.006350577808916569,0.034996286,-0.0037072104401280133,0.8467426002025604,0.2,0.26830078125,0.06602564038531758,0.0003
352.0,956,22118400,180,1392.5074,23112,1790,-1.9171824970220526,0.016176750883460045,0.03501467,-0.003705593412663196,0.8216923922300339,0.2,0.26992350260416664,0.06694831326618442,0.0003
338.4,957,22241280,181,1363.0388,23240,1800,-1.9268242890015244,-0.0066270120441913605,0.03459073,-0.0034220953421906113,0.8253680169582367,0.2,0.26475911458333334,0.05589412639244983,0.0003
398.8,957,22364160,182,1568.0948,23368,1810,-1.9426598778925837,0.04163394868373871,0.035338286,-0.004473805392093103,0.8565114140510559,0.2,0.2714689127604167,0.06501928088303734,0.0003
301.3333333333333,956,22487040,183,1190.1831,23498,1820,-1.917140121391664,0.0028364136815071106,0.035627387,-0.0035439440928773064,0.8358546942472458,0.2,0.27029052734375,0.0779700123074872,0.0003
363.8,956,22609920,184,1430.943,23627,1830,-1.9108823479898274,-0.012723475694656372,0.035461504,-0.00381662631195771,0.8689355850219727,0.2,0.26653645833333334,0.07137331916230323,0.0003
405.06666666666666,956,22732800,185,1570.4504,23759,1840,-1.9163111559612056,-0.024151671677827835,0.034119423,-0.003473897105662521,0.880191758275032,0.2,0.26318766276041666,0.04850326792521325,0.0003
386.6,956,22855680,186,1503.755,23888,1850,-1.904237567242235,0.0064973048865795135,0.03490981,-0.0035402426349052498,0.8497355133295059,0.2,0.2682194010416667,0.06955885875264357,0.0003
375.6,956,22978560,187,1492.3597,24016,1860,-1.8746832553048929,0.044250067323446274,0.036187243,-0.0037186827818125796,0.8298864811658859,0.2,0.2696402994791667,0.06839625677346096,0.0003
419.8,956,23101440,188,1651.0511,24144,1870,-1.8890368700399995,0.00790245458483696,0.03635025,-0.0034563142145604313,0.8502642214298248,0.2,0.26779378255208336,0.07778103556566444,0.0003
371.6,956,23224320,189,1450.6414,24271,1880,-1.894897294777135,0.002828117460012436,0.035057437,-0.0033435078111991364,0.8502119779586792,0.2,0.26783854166666665,0.06296173031417614,0.0003
435.73333333333335,956,23347200,190,1728.1946,24398,1890,-1.8848138557436565,0.004090860486030579,0.03456353,-0.0034458558583294993,0.8673487454652786,0.2,0.26503824869791665,0.06663266887136464,0.0003
364.6666666666667,956,23470080,191,1460.3867,24524,1900,-1.8887086992772917,0.0557720847427845,0.03691901,-0.0030409205114665383,0.8447065204381943,0.2,0.2701009114583333,0.06820534584937074,0.0003
263.26666666666665,957,23592960,192,1027.1919,24651,1910,-1.881896261939158,-0.009954400360584259,0.03565537,-0.0036307684387611515,0.8621748834848404,0.2,0.26988525390625,0.08125103397918186,0.0003
311.3333333333333,957,23715840,193,1255.9202,24779,1920,-1.9003401827191313,-0.008177265524864197,0.036159042,-0.0036373496200394584,0.8426788002252579,0.2,0.2705582682291667,0.060583251052376,0.0003
356.0,957,23838720,194,1421.1526,24906,1930,-1.8687144003622234,0.014158451929688454,0.035253923,-0.0035787382424132376,0.8614657521247864,0.2,0.26605387369791667,0.06441907846380976,0.0003
397.3333333333333,957,23961600,195,1576.3834,25033,1940,-1.8924169284291565,0.03007088229060173,0.036183555,-0.003167950249480782,0.8263890743255615,0.2,0.27019612630208334,0.06863486175730941,0.0003
391.26666666666665,956,24084480,196,1525.9966,25171,1950,-1.8920078378915788,0.021482035517692566,0.037013173,-0.003425599193008869,0.8543301969766617,0.2,0.27379231770833334,0.07519082934345836,0.0003
365.2,956,24207360,197,1431.3894,25304,1960,-1.877765155999611,0.013516469858586788,0.035968892,-0.003669994041247264,0.8402736634016037,0.2,0.271025390625,0.055775564923897035,0.0003
262.6666666666667,956,24330240,198,1034.5538,25431,1970,-1.8556262242794037,0.013525577262043953,0.037136603,-0.004011374590706206,0.8149774968624115,0.2,0.26978922526041665,0.07285417041527883,0.0003
411.26666666666665,956,24453120,199,1653.7864,25559,1980,-1.8794819345263143,0.014859277755022049,0.03599414,-0.0030793573386169253,0.8265038579702377,0.2,0.26959554036458333,0.07210946618586604,0.0003
358.2,956,24576000,200,1417.9343,25687,1990,-1.8787472221193213,0.001050545834004879,0.035779793,-0.003088491019025241,0.8391668349504471,0.2,0.26446370442708333,0.057058740661862735,0.0003
341.73333333333335,956,24698880,201,1390.5078,25816,2000,-1.8679949805823466,0.006227883510291576,0.03637113,-0.003120191913324864,0.8585648834705353,0.2,0.2674462890625,0.06827028665208976,0.0003
365.2,956,24821760,202,1443.9852,25944,2010,-1.834484925015519,0.02598075196146965,0.03637875,-0.0030575464737557924,0.8353640586137772,0.2,0.26722330729166666,0.06889572697550951,0.0003
380.26666666666665,956,24944640,203,1528.7897,26072,2020,-1.8391459005139768,0.05039801821112633,0.035192616,-0.0032198268909511777,0.8782402575016022,0.2,0.26316162109375,0.05296314017556142,0.0003
411.73333333333335,956,25067520,204,1644.8278,26201,2030,-1.8229502212566635,0.028203703463077545,0.036532417,-0.003685562334740098,0.858703538775444,0.2,0.26793782552083334,0.0675135539899687,0.0003
