time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/explained_variance
86,949,11130,1475.8121,10567680,442.42,0.0005,-0.0036192807127432996,-3.538022493881484,850,0.1368642316007269,0.15556269884109497,0.032575298,0.2,0.2683943684895833,0.8581171631813049
87,949,11262,1403.827,10690560,424.1,0.0005,-0.0034128127563478,-3.5346824691320458,860,0.11092436443034481,0.04322550445795059,0.031702384,0.2,0.2615576171875,0.8139258027076721
88,949,11391,1422.9496,10813440,432.96,0.0005,-0.004068600018896784,-3.535639319308102,870,0.11784815252758563,0.05172184482216835,0.032254238,0.2,0.2639949544270833,0.8169450610876083
89,949,11523,1464.4025,10936320,439.9,0.0005,-0.003024181080751684,-3.526555451688667,880,0.12946065791135578,0.022146813571453094,0.032393772,0.2,0.26268798828125,0.8566388934850693
90,948,11654,1391.2059,11059200,422.2,0.0005,-0.0029184128323474093,-3.509507880186041,890,0.1496121670602588,0.06801343709230423,0.03377932,0.2,0.26506673177083334,0.8214394748210907
91,948,11786,1428.8818,11182080,431.38,0.0005,-0.003744735101686274,-3.5160878340899946,900,0.15096087753685425,0.01745636947453022,0.033265363,0.2,0.26670003255208335,0.8484657555818558
92,948,11917,1442.9767,11304960,440.54,0.0005,-0.003737961516077727,-3.508833777109782,910,0.12747313710691136,0.0790862888097763,0.03284754,0.2,0.26146565755208334,0.8226592540740967
93,948,12046,1416.8885,11427840,424.86,0.0005,-0.003951204789148809,-3.4879892780880133,920,0.12476734514328806,0.00946098007261753,0.032563407,0.2,0.26312255859375,0.8420835137367249
94,948,12176,1454.317,11550720,437.14,0.0005,-0.0033553189534601792,-3.495380307311813,930,0.13556582487178578,0.012717068195343018,0.032670062,0.2,0.2610042317708333,0.8572166562080383
95,948,12308,1494.4634,11673600,444.36,0.0005,-0.003000013436218675,-3.4740911670277517,940,0.1256874994127429,0.02115921676158905,0.032854013,0.2,0.2642545572916667,0.8491659462451935
96,948,12440,1466.9159,11796480,434.2,0.0005,-0.003678638471944093,-3.500675373735527,950,0.12557151740276215,0.028899412602186203,0.033253916,0.2,0.25941324869791665,0.8472855240106583
97,948,12569,1471.9517,11919360,439.62,0.0005,-0.004027576025024852,-3.46220982649674,960,0.12233847390268542,-0.006383553147315979,0.03337431,0.2,0.26462972005208335,0.8057252764701843
98,948,12699,1415.7478,12042240,424.44,0.0005,-0.003311066040175016,-3.459952555336058,970,0.12764900189931117,0.03579118102788925,0.03278963,0.2,0.25847900390625,0.819724902510643
99,946,12858,1440.1663,12165120,431.44,0.0005,-0.0031119309395702052,-3.453509454615414,980,0.13842811667360366,0.16961368918418884,0.032893516,0.2,0.26097900390625,0.8251749128103256
100,945,12989,1454.0391,12288000,436.1,0.0005,-0.0032871510096386678,-3.4347853474443157,990,0.11755246587650618,0.05046949163079262,0.032818235,0.2,0.25946940104166666,0.8309530317783356
101,946,13118,1467.1603,12410880,438.56,0.0005,-0.0034317458727976674,-3.4355612856522204,1000,0.13044521740783238,0.048817507922649384,0.033565275,0.2,0.26284342447916664,0.8163022845983505
102,945,13249,1394.3185,12533760,415.44,0.0005,-0.0029276186127147716,-3.4162796128417057,1010,0.14159778669680237,0.01692221313714981,0.03393342,0.2,0.2660628255208333,0.7707553803920746
103,945,13380,1394.177,12656640,421.0,0.0005,-0.002371704414799751,-3.409397670192023,1020,0.1349867177992322,0.06828534603118896,0.0329506,0.2,0.263212890625,0.7536013722419739
104,945,13509,1342.8462,12779520,398.96,0.0005,-0.002458190124549825,-3.3844176609317462,1030,0.1461432163892702,0.03239919990301132,0.03514083,0.2,0.2673006184895833,0.8493996560573578
105,946,13638,1441.1439,12902400,439.04,0.0005,-0.0031241487117343544,-3.389669749488433,1040,0.15702128172318527,0.055120065808296204,0.03403109,0.2,0.26445882161458334,0.8411970138549805
106,945,13770,1413.7926,13025280,425.32,0.0005,-0.0034215603441286172,-3.404760355564455,1050,0.11323380597905877,0.053797654807567596,0.034417212,0.2,0.2639689127604167,0.8308914303779602
107,945,13901,1475.516,13148160,439.68,0.0005,-0.00336615434525811,-3.396175997182727,1060,0.12713573632664824,0.07831953465938568,0.034503713,0.2,0.2632316080729167,0.8557706326246262
108,945,14032,1392.1232,13271040,415.4,0.0005,-0.0031102984838556344,-3.3917725445826847,1070,0.1373496101187387,0.03670470416545868,0.03439748,0.2,0.26364501953125,0.8098118454217911
109,945,14162,1463.9172,13393920,429.44,0.0005,-0.0032914884068911,-3.419307026093205,1080,0.1252070441231869,0.02494180016219616,0.034191154,0.2,0.26140462239583334,0.8701516538858414
110,945,14292,1425.3148,13516800,426.34,0.0005,-0.0035402207486004045,-3.428301465685169,1090,0.1705524299099731,0.019117744639515877,0.03420899,0.2,0.2615714518229167,0.7921431660652161
111,945,14424,1445.9023,13639680,430.84,0.0005,-0.002389881756498653,-3.401801131007572,1100,0.14321284050151006,0.07859833538532257,0.032963675,0.2,0.26090901692708335,0.8628798276185989
112,945,14554,1408.376,13762560,418.56,0.0005,-0.0026330207580637457,-3.4014014335225027,1110,0.12036225171216453,0.023532260209321976,0.032068502,0.2,0.253427734375,0.8054065555334091
113,945,14686,1437.9733,13885440,423.68,0.0005,-0.0026232198418862634,-3.400327239446342,1120,0.13006823897371456,0.03970785066485405,0.0336281,0.2,0.260537109375,0.8132637441158295
114,945,14817,1516.343,14008320,446.56,0.0005,-0.003150990755875682,-3.4337529907996456,1130,0.15597518370806937,0.041645459830760956,0.034102548,0.2,0.25682942708333334,0.8269272595643997
115,945,14947,1458.8462,14131200,435.36,0.0005,-0.0031161399906341103,-3.419185109635194,1140,0.158202342215518,0.03700696676969528,0.033816047,0.2,0.25616943359375,0.7810476273298264
116,945,15079,1514.1572,14254080,444.8,0.0005,-0.003473488977075855,-3.3851791448394457,1150,0.12778326997795375,-0.0035896599292755127,0.033127625,0.2,0.25833333333333336,0.8024232685565948
117,945,15210,1466.0342,14376960,430.9,0.0005,-0.003161453373071102,-3.3766113128513098,1160,0.13079065654067865,0.07113013416528702,0.0328,0.2,0.2580485026041667,0.7625217288732529
118,945,15340,1389.3992,14499840,413.28,0.0005,-0.0030028161071428863,-3.3874216394623122,1170,0.1264658196430537,0.027828171849250793,0.033032287,0.2,0.25510335286458335,0.8065226674079895
119,945,15470,1509.9233,14622720,437.7,0.0005,-0.0029231529407904113,-3.3452446990211806,1180,0.11935606376869448,0.07413212209939957,0.033360876,0.2,0.25978678385416665,0.8409261405467987
120,945,15600,1484.6971,14745600,434.78,0.0005,-0.0027580236046317926,-3.3646236269921066,1190,0.12957876383967232,0.0249911118298769,0.03317163,0.2,0.2548746744791667,0.7846244424581528
121,945,15731,1413.6229,14868480,412.52,0.0005,-0.002946821270925284,-3.353776429121693,1200,0.1405736202968789,0.3161926865577698,0.03347749,0.2,0.25864095052083336,0.8101266324520111
122,945,15860,1492.0867,14991360,442.24,0.0005,-0.002778707732844244,-3.3668530559291443,1210,0.1462691867102209,0.047415561974048615,0.032537054,0.2,0.25498046875,0.8006139397621155
123,944,16006,1496.6343,15114240,431.74,0.0005,-0.003301970794400404,-3.3702752330278356,1220,0.10974668772726243,0.059327974915504456,0.032394905,0.2,0.2557503255208333,0.7779580950737
124,944,16136,1489.3955,15237120,433.5,0.0005,-0.0029895648648804733,-3.358124558304747,1230,0.1186724210739582,0.03000417910516262,0.032898672,0.2,0.25583251953125,0.8422107696533203
125,943,16275,1456.0496,15360000,422.2,0.0005,-0.002603272293035843,-3.3557648822044333,1240,0.1178188764921894,0.041257016360759735,0.03263877,0.2,0.2543131510416667,0.8192121833562851
126,943,16404,1478.8743,15482880,437.86,0.0005,-0.0025872213052086103,-3.3273916054765382,1250,0.11805105569486235,0.03617170453071594,0.034334637,0.2,0.2593505859375,0.8386457413434982
