time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss
961,7618560,440.06,1437.2069,7920,62,0.2,0.010454943403601646,-3.5751505798970658,0.11117220376133143,0.0003,0.8558617234230042,0.026895722,610,0.2642464192708333,-0.007895716350673562
962,7741440,406.62,1342.766,8047,63,0.2,0.010659215971827507,-3.5725620750462017,0.0904727727517214,0.0003,0.8835136070847511,0.02575637,620,0.2583870442708333,-0.007484281804045168
962,7864320,443.46,1461.8693,8174,64,0.2,0.08901515603065491,-3.5494458888595304,0.11596112146779584,0.0003,0.8898996710777283,0.02698351,630,0.2654549153645833,-0.008256788355641522
961,7987200,419.48,1385.6998,8304,65,0.2,0.0050387904047966,-3.5275679963082074,0.10673940573663761,0.0003,0.8541189432144165,0.026475135,640,0.26083251953125,-0.007884452335935445
961,8110080,440.6,1455.5458,8433,66,0.2,0.09743526577949524,-3.518550371093055,0.12958709602738963,0.0003,0.8443989306688309,0.027397629,650,0.26757486979166667,-0.0077189449454575275
961,8232960,418.58,1366.6278,8560,67,0.2,0.018079109489917755,-3.498197821987172,0.101378287828605,0.0003,0.8827878162264824,0.026231406,660,0.2608138020833333,-0.007586023230808981
961,8355840,445.14,1471.2181,8689,68,0.2,0.053891249001026154,-3.473365475734075,0.11853037414121596,0.0003,0.8824852779507637,0.028206723,670,0.2720768229166667,-0.008034314162468945
961,8478720,421.36,1411.446,8815,69,0.2,0.019114423543214798,-3.4438086133201917,0.11271883390024111,0.0003,0.8527136296033859,0.02716292,680,0.27003662109375,-0.007473666125655048
961,8601600,424.14,1399.216,8942,70,0.2,-0.011812075972557068,-3.439858701353272,0.11114083092237706,0.0003,0.8731243908405304,0.028204389,690,0.2732413736979167,-0.007624855945250602
961,8724480,420.74,1397.8448,9072,71,0.2,0.023680439218878746,-3.4192374195655186,0.10378181296240654,0.0003,0.8748839199542999,0.027715804,700,0.26959635416666666,-0.007424388700001145
