rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates
450.0,695.51984,8519680,28735,296,52,-5.002019605333592e-17,-1.4837269191048107e-11,0.8525299280881882,0.04896710440516472,0.0,0.0704077867542219,0.2,0.0003,0.0,510
450.0,695.4992,8683520,29333,296,53,-6.472237185200815e-17,4.857042767980602e-11,0.8646946251392365,0.037135861814022064,0.0,0.05587873416363436,0.2,0.0003,0.0,520
450.0,698.1856,8847360,29940,295,54,-5.0478263142783656e-17,5.583160600508563e-12,0.8658811450004578,0.016841288655996323,0.0,0.06728879983167645,0.2,0.0003,0.0,530
450.0,689.0744,9011200,30540,295,55,-4.389776478147661e-17,7.159542292356491e-11,0.8892579302191734,0.007975210435688496,0.0,0.04917934548284393,0.2,0.0003,0.0,540
449.56,700.46173,9175040,31140,294,56,-6.684529984420279e-17,-4.500407158047892e-11,0.8833052515983582,0.038157328963279724,0.0,0.057472036321214545,0.2,0.0003,0.0,550
450.0,694.44366,9338880,31735,294,57,-6.025511661765995e-17,-7.713992999924812e-11,0.8604893237352371,0.01326016802340746,0.0,0.06501416447799784,0.2,0.0003,0.0,560
450.0,697.1953,9502720,32336,293,58,-1.1226357398160031e-16,-5.7992792790173554e-11,0.8841052204370499,0.021560464054346085,0.0,0.06574743748671608,0.2,0.0003,0.0,570
450.0,695.1128,9666560,32940,293,59,-7.535028579783277e-17,1.6125341062434018e-11,0.8572335690259933,0.020533893257379532,0.0,0.06558864578131761,0.2,0.0003,0.0,580
450.0,695.53564,9830400,33541,293,60,-5.080008297781189e-17,1.0556959750829264e-11,0.8690138757228851,0.017847079783678055,0.0,0.05993990589393434,0.2,0.0003,0.0,590
450.0,701.9615,9994240,34143,292,61,-8.021056448071276e-17,1.2618102118722163e-11,0.8796307072043419,0.018527807667851448,0.0,0.06202744788442942,0.2,0.0003,0.0,600
450.0,700.59534,10158080,34740,292,62,-6.815448909281293e-17,9.381437848787754e-12,0.8727757930755615,0.0227484293282032,0.0,0.055016936714037,0.2,0.0003,0.0,610
450.0,695.92346,10321920,35339,292,63,-6.023311541414485e-17,-4.9035406846087425e-11,0.8723525553941727,0.02692830190062523,0.0,0.06595106593129457,0.2,0.0003,0.0,620
448.64,699.7802,10485760,35944,291,64,-6.279292081871949e-17,1.7453146483603631e-10,0.8741084188222885,0.007192542310804129,0.0,0.05529009053892878,0.2,0.0003,0.0,630
450.0,693.1397,10649600,36539,291,65,-6.2958222910838e-17,-1.1234988051000983e-10,0.8443610966205597,0.018492072820663452,0.0,0.07533662431153061,0.2,0.0003,0.0,640
449.54,697.136,10813440,37142,291,66,-6.04684775498869e-17,-1.4377860679815058e-10,0.8007537573575974,0.04561256244778633,0.0,0.056942283021162436,0.2,0.0003,0.0,650
450.0,691.85297,10977280,37744,290,67,-6.310607479386325e-17,-1.8012542568612843e-11,0.8683608919382095,0.027269206941127777,0.0,0.08960598817224309,0.2,0.0003,0.0,660
450.0,692.7732,11141120,38345,290,68,-1.4884443888926785e-16,7.60689999879105e-11,0.863206073641777,0.065095454454422,0.0,0.06288348283107553,0.2,0.0003,0.0,670
450.0,691.6669,11304960,38943,290,69,-6.311973151191035e-17,-3.493596523185261e-11,0.6281303763389587,0.03444405645132065,0.0,0.08058298601816205,0.2,0.0003,0.0,680
450.0,697.07025,11468800,39551,289,70,-5.829783643550894e-17,2.2239419195102528e-11,0.8565415740013123,0.042792510241270065,0.0,0.07648259595243871,0.2,0.0003,0.0,690
450.0,692.6982,11632640,40155,289,71,-5.796628155754646e-17,-5.235960998106748e-11,0.8791303485631943,0.060232505202293396,0.0,0.05575497197567529,0.2,0.0003,0.0,700
450.0,690.3396,11796480,40758,289,72,-6.606545757285593e-17,1.8349055608268828e-12,0.8976338878273964,0.010621994733810425,0.0,0.053661677071977464,0.2,0.0003,0.0,710
450.0,699.1294,11960320,41358,289,73,-1.141653977631844e-16,1.1054453352699056e-10,0.8718162178993225,0.12061330676078796,0.0,0.06271363231995565,0.2,0.0003,0.0,720
450.0,692.7358,12124160,41960,288,74,-8.066721138008252e-17,8.652250471641309e-11,0.8739367574453354,0.024664590135216713,0.0,0.06547261364527003,0.2,0.0003,0.0,730
450.0,696.54474,12288000,42563,288,75,-6.138108812507884e-17,-2.4117525754263623e-11,0.8766980990767479,0.021231885999441147,0.0,0.060793224506469415,0.2,0.0003,0.0,740
450.0,693.2127,12451840,43167,288,76,-7.27447057937477e-17,1.672560756560415e-11,0.8740606606006622,0.051662493497133255,0.0,0.06507830344058675,0.2,0.0003,0.0,750
