rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance
450.0,1224.057,86,901,10567680,11720,-2.6062225531910856,0.012492508,0.2,6960,0.12298828125,0.0003,-0.0016024025877080324,0.09804294895002386,0.07307065278291702,0.8539763242006302
450.0,1285.1163,87,901,10690560,11853,-2.591536192658047,0.012768153,0.2,6970,0.12260416666666667,0.0003,-0.00113400188257098,0.11534853275651888,0.0427422970533371,0.7988465279340744
450.0,1280.188,88,902,10813440,11987,-2.623469582659503,0.0119618075,0.2,6980,0.12111735026041667,0.0003,-0.0012808091367060115,0.113653486015149,0.056309182196855545,0.794256716966629
450.0,1311.0602,89,902,10936320,12120,-2.591885829331974,0.014384485,0.2,6990,0.12348551432291667,0.0003,-0.0018973632564605698,0.1191625844524242,0.06852192431688309,0.842023640871048
446.0,1282.5265,90,902,11059200,12257,-2.6083779200538992,0.0123443995,0.2,7000,0.1169775390625,0.0003,-0.0018503558530149652,0.12786356019302428,0.0970320925116539,0.7921514213085175
450.0,1312.1958,91,902,11182080,12389,-2.579438107336561,0.015640028,0.2,7010,0.11928629557291667,0.0003,-0.0014807799229674856,0.10350411764028346,-0.0017635263502597809,0.8160409033298492
450.0,1256.1971,92,902,11304960,12525,-2.591512704292933,0.01257231,0.2,7020,0.11644938151041667,0.0003,-0.0013340164870957476,0.11397437717891687,0.006546646356582642,0.8194762915372849
450.0,1252.8578,93,902,11427840,12660,-2.5811279002204537,0.013021532,0.2,7030,0.12377197265625,0.0003,-0.001857780497502972,0.10672467244691991,0.004113398492336273,0.7916834503412247
450.0,1227.1392,94,902,11550720,12794,-2.6099466086303194,0.012396124,0.2,7040,0.11655192057291666,0.0003,-0.0012190620770888927,0.12090362899645697,0.11294896900653839,0.798374131321907
450.0,1215.0015,95,902,11673600,12930,-2.5793424700324734,0.013304297,0.2,7050,0.1233251953125,0.0003,-0.0016901755404978758,0.10272572093948838,0.04480253905057907,0.8008244335651398
