time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range
13762560,974,14125,112,448.1333333333333,1574.0828,0.0003,1110,-0.007326411645032446,0.027937036,0.028411582112312317,0.9020135328173637,0.25891357421875,-3.191231935185691,0.0744570480667365,0.2
13885440,974,14251,113,445.8666666666667,1583.2052,0.0003,1120,-0.007147229103065911,0.028574945,0.03226142004132271,0.883650004863739,0.2627685546875,-3.1891583079472183,0.07553868548731164,0.2
14008320,974,14378,114,432.06666666666666,1502.6808,0.0003,1130,-0.007163965379240835,0.028551416,-0.015414267778396606,0.878755159676075,0.26283365885416665,-3.1865665390094122,0.08617594162302945,0.2
14131200,974,14503,115,429.1333333333333,1511.4095,0.0003,1140,-0.00651296181684908,0.0295477,0.08972620964050293,0.8791592717170715,0.26978271484375,-3.1487681663533054,0.10819923086019116,0.2
14254080,973,14647,116,431.6666666666667,1481.9941,0.0003,1150,-0.006946619495505122,0.02888744,0.08450733125209808,0.8545840382575989,0.26507568359375,-3.156377631848057,0.08628875521292988,0.2
14376960,973,14774,117,425.3333333333333,1538.2808,0.0003,1160,-0.006554129695984253,0.028442163,0.01985015720129013,0.8791746124625206,0.2645060221354167,-3.152403615675867,0.08890431187416349,0.2
14499840,971,14929,118,432.46666666666664,1497.9725,0.0003,1170,-0.006994574937810588,0.028697733,0.07869243621826172,0.8599400222301483,0.26860677083333334,-3.1402450307831167,0.09438414702875889,0.2
14622720,971,15056,119,450.0,1595.086,0.0003,1180,-0.0073280771950733955,0.029720223,-0.025447797030210495,0.8798423111438751,0.26866943359375,-3.152050048224628,0.08958602610888193,0.2
14745600,971,15182,120,431.2,1529.8396,0.0003,1190,-0.006365620363982695,0.028628355,0.10381168127059937,0.8648654818534851,0.26383544921875,-3.1611840422203143,0.08687624502117008,0.2
14868480,971,15306,121,410.8666666666667,1459.2479,0.0003,1200,-0.00663468715363706,0.02950316,0.03251423314213753,0.8357354700565338,0.26537434895833334,-3.163296466457347,0.11442902184615378,0.2
14991360,971,15430,122,450.0,1579.4258,0.0003,1210,-0.0068630719240597195,0.027735973,0.020661339163780212,0.8621543496847153,0.25921793619791667,-3.158814892830948,0.08637191174309312,0.2
15114240,971,15557,123,423.2,1499.7888,0.0003,1220,-0.006537249385395019,0.029275797,0.012451181188225746,0.8675690591335297,0.26624186197916666,-3.122579092743496,0.10581481148833215,0.2
15237120,971,15684,124,444.4,1575.4921,0.0003,1230,-0.0068100109200228565,0.029144388,0.04890153557062149,0.8637875020503998,0.26643229166666665,-3.112889838218689,0.08772428914356473,0.2
15360000,971,15810,125,433.0,1543.1296,0.0003,1240,-0.0068663902967394585,0.029128043,0.05773512274026871,0.8235881626605988,0.26305013020833334,-3.1116157127171755,0.08073396017522706,0.2
15482880,971,15935,126,427.53333333333336,1476.9769,0.0003,1250,-0.006606160060279459,0.028957842,0.01904134638607502,0.8367826044559479,0.2632137044270833,-3.0925517083828646,0.08422737775467491,0.2
15605760,971,16060,127,450.0,1585.5999,0.0003,1260,-0.006879705259570983,0.029377328,0.05377881973981857,0.8531294018030167,0.26229654947916664,-3.0894419860839846,0.0842863054650176,0.2
15728640,971,16184,128,416.8,1464.5044,0.0003,1270,-0.006956289281230662,0.028685052,0.025406479835510254,0.85609370470047,0.26013834635416666,-3.119346838320295,0.09186373282156031,0.2
15851520,971,16310,129,421.3333333333333,1480.0667,0.0003,1280,-0.007052176401405935,0.029664345,0.038104236125946045,0.8547041118144989,0.2632722981770833,-3.0846800693745413,0.10284430901704278,0.2
15974400,971,16434,130,450.0,1623.0099,0.0003,1290,-0.0061942098617570685,0.028491493,0.04936135932803154,0.8513934910297394,0.2606201171875,-3.0836434921746454,0.09036747725568905,0.2
16097280,972,16559,131,444.8666666666667,1576.3411,0.0003,1300,-0.006562720222324667,0.029094517,0.02626151591539383,0.8569860011339188,0.2594287109375,-3.0558131779854496,0.0888338174399784,0.2
16220160,972,16684,132,435.53333333333336,1541.7795,0.0003,1310,-0.005390572071907324,0.028457291,0.014026295393705368,0.8501655608415604,0.26062418619791666,-3.0145939623440303,0.09808967756670124,0.2
16343040,972,16810,133,414.8666666666667,1469.5549,0.0003,1320,-0.006196520184409262,0.02860358,0.002862204797565937,0.8476655185222626,0.26201741536458334,-3.0051145965109267,0.10198576021459303,0.2
16465920,972,16937,134,423.1333333333333,1539.0328,0.0003,1330,-0.005874133215329493,0.028965013,0.03580573946237564,0.8768807798624039,0.26159342447916667,-3.0037979993596675,0.09157070199236235,0.2
16588800,972,17063,135,414.6,1484.5132,0.0003,1340,-0.006019757838409229,0.029370762,0.02083299681544304,0.8816453292965889,0.2642366536458333,-2.9885868971670666,0.09745140267012176,0.2
16711680,972,17189,136,432.93333333333334,1567.127,0.0003,1350,-0.006517870862802131,0.029441573,-0.0007678959518671036,0.8759989067912102,0.26124267578125,-2.9989591379339497,0.08703933745918524,0.2
16834560,972,17314,137,450.0,1595.0746,0.0003,1360,-0.006067308728706849,0.030497288,-0.0005438197404146194,0.8788536041975021,0.2632218424479167,-2.9863188109919427,0.09593466864234264,0.2
16957440,972,17439,138,450.0,1596.8698,0.0003,1370,-0.005385184010910962,0.028364602,0.07005146890878677,0.8926213681697845,0.2574658203125,-2.975903296781083,0.09950947047773905,0.2
17080320,972,17571,139,434.6,1509.9993,0.0003,1380,-0.006449986656037557,0.029201044,0.004246272146701813,0.8745729923248291,0.2613321940104167,-2.990693853770693,0.09435029171528489,0.2
17203200,971,17705,140,443.73333333333335,1554.9269,0.0003,1390,-0.005988067526401816,0.029308734,0.026862237602472305,0.8641451597213745,0.26097249348958335,-2.9755925049011904,0.09667198373596572,0.2
17326080,971,17831,141,426.1333333333333,1494.6774,0.0003,1400,-0.0060090832401632115,0.029103493,0.05526210740208626,0.8969511166214943,0.2581917317708333,-2.9624310322354237,0.0988414652212426,0.2
