rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
1564.7233,952,72,8847360,447.0,9290,0.2,0.1148579347266059,-0.008947531183688018,0.04200292006134987,710,0.0002,0.020041859,-3.3071128030245505,0.22012776692708333,0.8010505735874176
1556.5093,952,73,8970240,440.8,9420,0.2,0.11318750002256517,-0.008211339308897246,0.061777569353580475,720,0.0002,0.019851865,-3.262057607981066,0.21985595703125,0.8084352314472198
1536.6005,952,74,9093120,450.0,9549,0.2,0.10202556805922844,-0.008694574944856868,0.08124978095293045,730,0.0002,0.019476837,-3.2572170483817655,0.21510579427083334,0.7751073390245438
1588.4342,952,75,9216000,450.0,9680,0.2,0.09842264306678165,-0.009123146924115038,0.00445358082652092,740,0.0002,0.01904547,-3.2579165757074953,0.21464762369791668,0.7898009419441223
1538.3214,951,76,9338880,450.0,9810,0.2,0.0937804015307241,-0.008965681053917554,0.1818484216928482,750,0.0002,0.019896122,-3.2224712841088574,0.21872721354166666,0.8234714418649673
1516.1458,951,77,9461760,432.6,9939,0.2,0.10096849327164818,-0.00871163182959511,-0.00930507481098175,760,0.0002,0.019518908,-3.201842206629614,0.21352457682291667,0.8157124370336533
1589.6206,951,78,9584640,450.0,10070,0.2,0.11786684430534175,-0.008313610723610813,0.015809450298547745,770,0.0002,0.019878082,-3.170024604561428,0.21657958984375,0.7985415011644363
1588.1808,951,79,9707520,450.0,10201,0.2,0.12109191520163828,-0.00793537778440926,0.05176330730319023,780,0.0002,0.019251158,-3.169002998446425,0.21471354166666667,0.8304861485958099
1556.2767,951,80,9830400,450.0,10334,0.2,0.133842942470413,-0.0077815304106904175,0.011563291773200035,790,0.0002,0.018868003,-3.133687234247724,0.21898193359375,0.7591514438390732
1614.0872,949,81,9953280,450.0,10486,0.2,0.12720461935702285,-0.008040394518823935,0.0913100391626358,800,0.0002,0.019741507,-3.1185852084929744,0.21854573567708332,0.7630505859851837
1592.7628,948,82,10076160,449.8,10619,0.2,0.13997740743647835,-0.007436062480786252,0.07152897119522095,810,0.0002,0.01877358,-3.127390067738791,0.20825602213541666,0.6425134241580963
1584.3704,948,83,10199040,444.6,10751,0.2,0.14793679046682276,-0.0066431774011349864,0.08499753475189209,820,0.0002,0.018411377,-3.106149946637452,0.206259765625,0.6554786562919617
1596.969,948,84,10321920,448.6,10881,0.2,0.14762455103574515,-0.007708530819096874,0.07951578497886658,830,0.0002,0.018377852,-3.1280203554282586,0.20648111979166667,0.6232183873653412
1588.0721,948,85,10444800,450.0,11012,0.2,0.14380238647771573,-0.007169061818888925,0.10951888561248779,840,0.0002,0.01825423,-3.0985954285040496,0.20814371744791665,0.7016333043575287
1620.5247,948,86,10567680,450.0,11144,0.2,0.12969249063215102,-0.007526498153123005,-0.01000225730240345,850,0.0002,0.018355167,-3.067939016620318,0.20599690755208333,0.7498860359191895
1561.9777,948,87,10690560,428.53333333333336,11274,0.2,0.13425394787661693,-0.007140959539016573,0.023666484281420708,860,0.0002,0.018699849,-3.0461841121812663,0.2113916015625,0.7388167381286621
1569.0581,947,88,10813440,436.26666666666665,11408,0.2,0.1474655439038664,-0.006159644303425011,0.05385926365852356,870,0.0002,0.017801074,-3.0220781008278332,0.19564697265625,0.694342851638794
1571.2583,947,89,10936320,428.0,11539,0.2,0.149290211997674,-0.0069042864851113946,0.06536177545785904,880,0.0002,0.017873833,-2.9749748962000013,0.2015380859375,0.7313088476657867
1571.5187,947,90,11059200,434.0,11669,0.2,0.14025446722686563,-0.0070680967425869315,0.0624164380133152,890,0.0002,0.01797027,-2.992501278705895,0.19457845052083333,0.6668629050254822
1567.7098,947,91,11182080,431.6,11800,0.2,0.13172606446198187,-0.007400228624561957,0.03912154212594032,900,0.0002,0.018021954,-2.9926631534968813,0.19736409505208333,0.7803617864847183
1633.0751,947,92,11304960,450.0,11932,0.2,0.16306088453304254,-0.007029206926308689,0.018229085952043533,910,0.0002,0.017820656,-2.9651247544710837,0.194912109375,0.7186714708805084
1642.8577,947,93,11427840,450.0,12064,0.2,0.14278439308933835,-0.00668868235527043,0.07230696827173233,920,0.0002,0.017044816,-2.997029009349644,0.19034261067708333,0.7198626697063446
1546.2906,947,94,11550720,428.8,12196,0.2,0.1415597789582292,-0.006846339330374273,0.0029279515147209167,930,0.0002,0.016716156,-2.9497797107324004,0.18999104817708334,0.7440102994441986
1575.5875,946,95,11673600,432.06666666666666,12328,0.2,0.140080983673397,-0.006765162602914643,0.10422388464212418,940,0.0002,0.017366707,-2.91843950578322,0.18908284505208334,0.6951253712177277
1646.9674,946,96,11796480,450.0,12464,0.2,0.13239197294644933,-0.006815092231997066,-0.02088841423392296,950,0.0002,0.016341647,-2.899181892499328,0.181904296875,0.7753661870956421
1570.8141,946,97,11919360,432.1333333333333,12599,0.2,0.14854264551468077,-0.004828424001692232,0.10837375372648239,960,0.0002,0.016138729,-2.9202979734912513,0.17965169270833334,0.6045492887496948
1611.9075,945,98,12042240,450.0,12731,0.2,0.12147752271785672,-0.006356438118546066,0.10775451362133026,970,0.0002,0.016081892,-2.8806277634575963,0.17563069661458333,0.7414387762546539
1551.8022,945,99,12165120,422.8,12864,0.2,0.13022678051662903,-0.005736303656030941,0.05221673473715782,980,0.0002,0.016747637,-2.8899683650086323,0.18227132161458334,0.7601657956838608
1603.7878,945,100,12288000,450.0,12996,0.2,0.10783694334405784,-0.007482130497761925,0.13299795985221863,990,0.0002,0.016627043,-2.90959726990511,0.18149169921875,0.8465482741594315
1603.4292,945,101,12410880,446.93333333333334,13127,0.2,0.11355511537151566,-0.007367340320767349,0.09965285658836365,1000,0.0002,0.017624656,-2.9110299258306624,0.188984375,0.8476872593164444
1432.9963,945,102,12533760,412.73333333333335,13259,0.2,0.12899471377502778,-0.00690564307603078,-0.012632131576538086,1010,0.0002,0.017523857,-2.883608996719122,0.18465087890625,0.8060733675956726
1597.0304,944,103,12656640,450.0,13395,0.2,0.09810320067568683,-0.008131188725195292,0.05982671678066254,1020,0.0002,0.017746294,-2.9011846727256976,0.18615641276041667,0.8632201999425888
1609.7518,944,104,12779520,450.0,13529,0.2,0.12533687715001482,-0.006395317600236012,0.04713296890258789,1030,0.0002,0.01690609,-2.897534625319143,0.17993001302083333,0.8147760927677155
1591.263,944,105,12902400,445.3333333333333,13659,0.2,0.12819419121122336,-0.006241144855127155,0.02206851728260517,1040,0.0002,0.016483825,-2.908126325334112,0.17073811848958334,0.795754462480545
1633.3225,944,106,13025280,450.0,13791,0.2,0.1291705819046183,-0.007060950767942511,0.0964566320180893,1050,0.0002,0.01629779,-2.867008901859323,0.17172607421875,0.7820967584848404
1638.718,944,107,13148160,450.0,13922,0.2,0.13030601755919632,-0.0057177029599006345,0.021603841334581375,1060,0.0002,0.01598313,-2.890909464173019,0.16861735026041666,0.7908811271190643
1563.2428,944,108,13271040,426.26666666666665,14053,0.2,0.1399475540384204,-0.006091179770337476,0.035189997404813766,1070,0.0002,0.01633128,-2.842579369644324,0.17689371744791665,0.7755712866783142
1640.1868,944,109,13393920,450.0,14186,0.2,0.15376473305727512,-0.005170147003809689,0.04033792018890381,1080,0.0002,0.015740449,-2.8945256109163164,0.17117919921875,0.7310953438282013
1586.2219,944,110,13516800,425.8666666666667,14316,0.2,0.13745551518751503,-0.006350160875032694,0.001499297097325325,1090,0.0002,0.016004262,-2.9157596300294,0.16868326822916666,0.7760708183050156
1668.7665,943,111,13639680,450.0,14449,0.2,0.18021413624694105,-0.004626704245095728,0.0350402407348156,1100,0.0002,0.014808741,-2.9314460066581765,0.16260416666666666,0.6797081828117371
1689.048,943,112,13762560,450.0,14582,0.2,0.1865167305628711,-0.003648977122799503,0.021530533209443092,1110,0.0002,0.014262884,-2.9479739560062685,0.15671061197916666,0.5163148641586304
1689.2804,943,113,13885440,450.0,14714,0.2,0.1858079570266515,-0.0039346220950331676,0.10573931038379669,1120,0.0002,0.013576587,-2.957152711513142,0.15117919921875,0.6100865602493286
1662.4583,943,114,14008320,450.0,14845,0.2,0.18507610314244327,-0.003406462843134553,0.09763339161872864,1130,0.0002,0.014050101,-2.947845945407947,0.15269368489583332,0.5032390654087067
1683.9062,942,115,14131200,450.0,14987,0.2,0.1894192062295042,-0.002513823734419323,0.061101410537958145,1140,0.0002,0.0123142935,-2.976270992619296,0.14440511067708334,0.3744444251060486
1688.4695,941,116,14254080,450.0,15135,0.2,0.18860449053051223,-0.003153335467965614,0.013488590717315674,1150,0.0002,0.012073061,-2.998434716736277,0.13909505208333334,0.3672106862068176
1687.9392,941,117,14376960,450.0,15267,0.2,0.18624093293086239,-0.003051108614460342,0.0747227743268013,1160,0.0002,0.013455831,-2.9751118609060843,0.13869140625,0.4459344148635864
1664.8617,941,118,14499840,450.0,15400,0.2,0.16842427107306623,-0.002445825361507256,0.032441698014736176,1170,0.0002,0.011802916,-2.96981244182835,0.1325732421875,0.5155236721038818
1635.8538,941,119,14622720,450.0,15532,0.2,0.15341283488582122,-0.004250798842210012,0.08294922113418579,1180,0.0002,0.013649782,-2.913087783207496,0.13927001953125,0.6941433846950531
1614.9742,941,120,14745600,450.0,15664,0.2,0.13040468270148267,-0.005544563067766527,0.11463474482297897,1190,0.0002,0.015880102,-2.8496531628320616,0.15609456380208334,0.733959972858429
1462.4094,941,121,14868480,417.6666666666667,15797,0.2,0.09740320313799505,-0.0069962227172315275,-0.003659650683403015,1200,0.0002,0.017220786,-2.7874938264737525,0.15812744140625,0.8121529817581177
1621.5204,941,122,14991360,450.0,15929,0.2,0.09943195142797777,-0.0063833171059074325,0.04401044547557831,1210,0.0002,0.01875179,-2.682927881491681,0.16647379557291667,0.8241579085588455
1611.509,941,123,15114240,450.0,16061,0.2,0.08673178654707348,-0.006201010340701032,0.014738809317350388,1220,0.0002,0.017552787,-2.6721311920757094,0.1643310546875,0.8345339298248291
1559.3956,940,124,15237120,443.93333333333334,16197,0.2,0.09016483697661898,-0.005946482858804909,0.060285113751888275,1230,0.0002,0.018563693,-2.677974424685041,0.167509765625,0.8545591235160828
1645.9204,940,125,15360000,450.0,16327,0.2,0.06858909322123509,-0.006592090527956316,0.02888820879161358,1240,0.0002,0.018576019,-2.643827279607455,0.16985188802083334,0.8578592091798782
1582.7599,940,126,15482880,450.0,16457,0.2,0.08884197871108578,-0.006556628229039537,0.07630355656147003,1250,0.0002,0.019462239,-2.614705902598798,0.180458984375,0.8393853455781937
1557.9583,940,127,15605760,441.8666666666667,16592,0.2,0.08148518031269002,-0.006379199723633064,0.0393507182598114,1260,0.0002,0.01886921,-2.654844772318999,0.17227783203125,0.8672949373722076
1653.6808,940,128,15728640,450.0,16727,0.2,0.08277786393834201,-0.006819498336814528,0.006889805197715759,1270,0.0002,0.019189896,-2.6073671646912895,0.17922607421875,0.8663161844015121
1435.0383,940,129,15851520,410.0,16857,0.2,0.09600135468397639,-0.006285401616917928,0.0482075996696949,1280,0.0002,0.017893584,-2.6177038793017466,0.17037027994791668,0.8128862529993057
1532.2362,940,130,15974400,430.93333333333334,16988,0.2,0.10187415332965126,-0.00650193513776685,0.07972801476716995,1290,0.0002,0.018926708,-2.6018284418185553,0.17713216145833333,0.8561127185821533
1588.7493,940,131,16097280,450.0,17121,0.2,0.08839119248519031,-0.006941091472438833,0.01799672655761242,1300,0.0002,0.018571805,-2.5729912123953302,0.1804248046875,0.8390630483627319
1559.0099,940,132,16220160,428.73333333333335,17252,0.2,0.10481140317211005,-0.006506805529091555,0.0615997314453125,1310,0.0002,0.019536538,-2.531511244835953,0.18553629557291668,0.8712742328643799
1633.8002,940,133,16343040,450.0,17382,0.2,0.08686664765254438,-0.007009598951553926,0.02901228703558445,1320,0.0002,0.019960135,-2.5533216923847792,0.18767415364583334,0.867190033197403
1517.1681,940,134,16465920,423.0,17512,0.2,0.0965855666733114,-0.006225073505214216,0.2831561267375946,1330,0.0002,0.018809041,-2.5921811341618497,0.17829996744791668,0.8906391113996506
1574.2595,940,135,16588800,432.53333333333336,17643,0.2,0.10234882310813798,-0.005872379646098125,0.003643946722149849,1340,0.0002,0.018473357,-2.58471363440156,0.18023274739583334,0.8919947817921638
1624.8065,940,136,16711680,450.0,17775,0.2,0.11149112709560237,-0.00681184423208227,0.03503234684467316,1350,0.0002,0.021190925,-2.4981212110569078,0.1955859375,0.8773655295372009
1249.9097,940,137,16834560,362.6666666666667,17904,0.2,0.10127435009553058,-0.006343694726892863,0.04482126608490944,1360,0.0002,0.022108324,-2.4288403725003205,0.20391764322916667,0.8493229001760483
1379.4471,940,138,16957440,407.2,18033,0.2,0.1399471443721753,-0.00625099055538764,0.03350898623466492,1370,0.0002,0.022593606,-2.4229836141690613,0.210185546875,0.8833944201469421
