time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/n_updates,train/loss,train/entropy_loss
55,1425.9716,6758400,397.73333333333335,776,8707,-0.021980432519909908,0.2,0.0002,0.08452193,0.48759602864583335,0.04137415842832221,0.8506651967763901,540,-0.03608936071395874,-2.819111901981135
56,1458.1886,6881280,405.2,776,8866,-0.020809781977562426,0.2,0.0002,0.08388852,0.4904890950520833,0.04446321721130517,0.8529362231492996,550,-0.05589967221021652,-2.803260027443369
57,1477.2168,7004160,412.6,775,9028,-0.020520358442518045,0.2,0.0002,0.08427215,0.4897265625,0.042413358231666885,0.8695978373289108,560,0.016858549788594246,-2.7802364397918184
58,1310.6609,7127040,360.26666666666665,775,9190,-0.020042264018502464,0.2,0.0002,0.08561812,0.49220947265625,0.04346332027152433,0.8675699383020401,570,-0.01308058574795723,-2.7573249145100514
59,1445.9824,7249920,406.0,775,9352,-0.020335053164587103,0.2,0.0002,0.089531265,0.49931722005208334,0.048435538297562745,0.8606592565774918,580,-0.01776506006717682,-2.742993282948931
60,1398.155,7372800,386.1333333333333,774,9514,-0.020063825066190474,0.2,0.0002,0.08807755,0.49624186197916664,0.04896761572240697,0.8472399860620499,590,0.027762414887547493,-2.736614087422689
61,1518.9344,7495680,416.53333333333336,774,9673,-0.018984890217094895,0.2,0.0002,0.0886165,0.49542643229166666,0.04852289082705587,0.8736152797937393,600,0.04039422422647476,-2.7183781153087816
62,1331.5293,7618560,365.53333333333336,774,9834,-0.020737356530686764,0.2,0.0002,0.089581385,0.4967041015625,0.04207032814262978,0.8580706417560577,610,-0.007631789892911911,-2.7133941066761813
63,1223.0958,7741440,340.3333333333333,774,9996,-0.01958417146079834,0.2,0.0002,0.09220775,0.49442138671875,0.04405027267510983,0.881030336022377,620,-0.0166354738175869,-2.683325020025174
64,1212.4023,7864320,336.3333333333333,774,10158,-0.020392396746058996,0.2,0.0002,0.090409026,0.4998600260416667,0.04396989211825712,0.8615056425333023,630,-0.033600859344005585,-2.6572140145053464
65,1605.3505,7987200,450.0,773,10319,-0.01902892929963855,0.2,0.0002,0.091797575,0.49971598307291665,0.04675533846112861,0.8822964727878571,640,-0.0345182940363884,-2.6428153899808726
66,1418.7,8110080,390.06666666666666,773,10481,-0.019367452890407245,0.2,0.0002,0.09374159,0.5003206380208334,0.04541254844710541,0.8623567819595337,650,-0.02877230942249298,-2.6301891821374497
67,1391.5839,8232960,389.93333333333334,773,10643,-0.01861678474810712,0.2,0.0002,0.09474356,0.5014298502604166,0.04677598224210669,0.828323245048523,660,-0.00301976315677166,-2.5730124891425175
68,1343.5543,8355840,372.8666666666667,773,10803,-0.018830723346169784,0.2,0.0002,0.09307061,0.4993310546875,0.040441970230822334,0.8641882240772247,670,0.02545306831598282,-2.5747170335551104
69,1285.7749,8478720,351.3333333333333,772,10972,-0.019215847208070045,0.2,0.0002,0.09477945,0.500712890625,0.04222541296730924,0.8441345393657684,680,-0.03284379467368126,-2.5568131682400903
70,1253.5961,8601600,337.26666666666665,772,11133,-0.018535112565502155,0.2,0.0002,0.09666526,0.50263671875,0.04400053031817758,0.8852937668561935,690,0.01591796800494194,-2.5294629627093674
71,1499.3508,8724480,399.93333333333334,772,11295,-0.01832210010566996,0.2,0.0002,0.10091526,0.5075602213541667,0.05005556570065285,0.8907866775989532,700,-0.03237425535917282,-2.4914952952042224
72,1575.9996,8847360,442.0,772,11455,-0.01807797015573063,0.2,0.0002,0.09603845,0.5027490234375,0.046645545631254205,0.8810610920190811,710,-0.03715680539608002,-2.507543854949375
73,1403.9828,8970240,383.46666666666664,772,11616,-0.018264340411563655,0.2,0.0002,0.09559401,0.5012223307291667,0.04482489833714984,0.87230384349823,720,-0.010771813802421093,-2.493453846424818
74,1469.1696,9093120,403.8,771,11778,-0.017809223265630864,0.2,0.0002,0.09864401,0.5027880859375,0.044467524007535154,0.9021377339959145,730,0.00027523934841156006,-2.4482790855690837
75,1458.8734,9216000,404.73333333333335,771,11943,-0.017343312143439107,0.2,0.0002,0.10006677,0.5051700846354167,0.043870641514561916,0.8741766065359116,740,-0.025308867916464806,-2.4084281294606624
76,1433.4673,9338880,389.53333333333336,771,12105,-0.01732100033239476,0.2,0.0002,0.102727756,0.5084309895833333,0.04912978503348616,0.8561085313558578,750,-0.011241545900702477,-2.390633643604815
77,1409.0758,9461760,382.73333333333335,771,12267,-0.017712450663493653,0.2,0.0002,0.10515156,0.5100699869791666,0.045733612157564496,0.8679585158824921,760,-0.010760273784399033,-2.368182284925133
78,1374.5327,9584640,375.73333333333335,771,12428,-0.017424592228532373,0.2,0.0002,0.10530908,0.50536376953125,0.04695756153397573,0.9009071215987206,770,-0.006485839374363422,-2.348778750691563
79,1398.1467,9707520,384.1333333333333,771,12590,-0.016433011504098736,0.2,0.0002,0.107295066,0.5107080078125,0.051294652918052935,0.8740541636943817,780,-0.01594316028058529,-2.3280195171696443
80,1420.0142,9830400,381.53333333333336,770,12753,-0.017028994615357076,0.2,0.0002,0.10540925,0.50932861328125,0.05055002972051928,0.8713000863790512,790,-0.029940471053123474,-2.309700001211216
81,1502.6184,9953280,406.8666666666667,770,12917,-0.01665977367130836,0.2,0.0002,0.11116409,0.5132014973958333,0.056696052556799256,0.8814938887953758,800,0.00030395761132240295,-2.2852172529200714
82,1403.569,10076160,385.93333333333334,770,13082,-0.016596400946409632,0.2,0.0002,0.107736595,0.5113850911458333,0.05563703007673515,0.866421565413475,810,-0.015247845090925694,-2.2648535592481496
83,1268.1658,10199040,349.6,769,13247,-0.016525216789450497,0.2,0.0002,0.108815275,0.5082145182291666,0.05174847379758527,0.8698343932628632,820,-0.00954323448240757,-2.246013623699546
84,1352.9977,10321920,375.2,769,13411,-0.015655561592563268,0.2,0.0002,0.10858771,0.5093912760416667,0.050740998376980616,0.8361950665712357,830,0.029589196667075157,-2.2447068725712596
85,1417.5496,10444800,389.26666666666665,769,13576,-0.015936020586553544,0.2,0.0002,0.11178718,0.5110799153645833,0.05235106383350891,0.909878596663475,840,-0.0329134427011013,-2.2238505699423454
86,1351.0717,10567680,360.1333333333333,769,13740,-0.01544923151648618,0.2,0.0002,0.11082253,0.5100203450520834,0.05198523468032363,0.891058474779129,850,-0.027357492595911026,-2.2131268134340645
87,1422.3066,10690560,378.93333333333334,768,13903,-0.015466644619761306,0.2,0.0002,0.110897474,0.5068522135416667,0.05408280863940793,0.8808655366301537,860,-0.03674130514264107,-2.198746886681765
88,1170.8021,10813440,319.4,768,14064,-0.015251261682496988,0.2,0.0002,0.11290267,0.5067822265625,0.050704182168410626,0.8871277496218681,870,0.03641374409198761,-2.1892943451243143
89,1337.3646,10936320,363.1333333333333,768,14227,-0.015384997705502125,0.2,0.0002,0.11486731,0.5103474934895833,0.055694127212579284,0.9055660739541054,880,-0.03256981074810028,-2.1609907828457655
90,1312.8049,11059200,344.53333333333336,768,14391,-0.014068342512558351,0.2,0.0002,0.11271856,0.5049723307291667,0.053610864073804505,0.9056363180279732,890,0.03393115848302841,-2.118748792055994
91,1534.2489,11182080,430.46666666666664,768,14555,-0.015333426296395676,0.2,0.0002,0.11719942,0.5096443684895834,0.04722995056140159,0.8689649403095245,900,0.0009796805679798126,-2.107970543367167
92,1376.622,11304960,363.53333333333336,767,14721,-0.015808200202379035,0.2,0.0002,0.116790645,0.50834228515625,0.04839672228020694,0.8903522714972496,910,0.01696498692035675,-2.1281951565047104
93,1460.9408,11427840,400.2,767,14887,-0.01555811328128281,0.2,0.0002,0.1159695,0.5052571614583333,0.05398051199297091,0.8806508928537369,920,-0.019228320568799973,-2.083155023697764
94,1440.8646,11550720,384.53333333333336,767,15051,-0.014663811708584641,0.2,0.0002,0.11739254,0.5060685221354166,0.053779957483153944,0.8857446685433388,930,-0.004560157656669617,-2.071817835041632
95,1439.9738,11673600,385.1333333333333,767,15215,-0.014871602497411611,0.2,0.0002,0.117459804,0.5072086588541667,0.06124603200732963,0.8803882822394371,940,-0.010730035603046417,-2.059609930627048
96,1198.0126,11796480,321.2,766,15380,-0.015427856740225253,0.2,0.0002,0.118299946,0.5037662760416667,0.04822527738382632,0.8801814615726471,950,-0.017974257469177246,-2.0397735133146244
