time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction,train/entropy_loss
520,99.84,-296.4722,487424,119,936,560.0787899017334,247.29495239257812,0.7126391530036926,-0.008699725192127517,0.2,1180,0.0003,0.015452849,0.11435546875,-3.0291792783886193
520,100.63,-297.88055,491520,120,944,527.0951856374741,93.8872299194336,0.6783024966716766,-0.006728432973613962,0.2,1190,0.0003,0.016338415,0.121875,-3.032436153665185
520,101.51,-299.83438,495616,121,952,488.3896584510803,184.1022491455078,0.7059357762336731,-0.00670654146670131,0.2,1200,0.0003,0.014374688,0.1059814453125,-2.976940019056201
520,101.47,-294.34436,499712,122,960,548.9924196720124,252.4852294921875,0.7066906988620758,-0.007690039244334912,0.2,1210,0.0003,0.012960009,0.097705078125,-2.989203164726496
520,99.09,-283.6378,503808,123,967,536.497735452652,301.8865966796875,0.6553516089916229,-0.008743170621892204,0.2,1220,0.0003,0.018070966,0.1135986328125,-3.0119148049503566
520,98.98,-281.33896,507904,124,975,567.8082709312439,150.4261474609375,0.6581075191497803,-0.009621259931009263,0.2,1230,0.0003,0.013631757,0.1058837890625,-2.954720862209797
520,100.26,-286.4955,512000,125,983,614.7043168306351,255.596435546875,0.6738500595092773,-0.0088880744879134,0.2,1240,0.0003,0.014160512,0.116552734375,-2.9823340609669686
520,99.79,-292.62534,516096,126,991,576.7338258266449,332.21038818359375,0.6421913206577301,-0.011321830570159364,0.2,1250,0.0003,0.013190287,0.098828125,-2.9831416737288237
520,95.65,-276.2413,520192,127,999,774.5085864543914,442.56756591796875,0.5800872445106506,-0.00724022092508676,0.2,1260,0.0003,0.014160854,0.1088134765625,-2.858368056640029
520,95.56,-259.88538,524288,128,1007,544.759805393219,164.40826416015625,0.6355362832546234,-0.00999334279258619,0.2,1270,0.0003,0.016414091,0.1096923828125,-2.8842853024601935
520,98.55,-270.90866,528384,129,1014,550.6735719203949,250.5095977783203,0.5595759153366089,-0.0077764879810274575,0.2,1280,0.0003,0.01525388,0.1155517578125,-2.761152910068631
520,101.53,-289.31134,532480,130,1022,582.2811059951782,241.94508361816406,0.5734439492225647,-0.0071775911252188965,0.2,1290,0.0003,0.013773003,0.0970458984375,-2.8158930625766514
520,101.32,-282.5922,536576,131,1030,612.6641061306,207.4390411376953,0.5998231172561646,-0.007739082849002443,0.2,1300,0.0003,0.016914986,0.129052734375,-2.8168705832213163
520,100.04,-268.4424,540672,132,1038,457.6947745800018,267.5544738769531,0.6890833973884583,-0.006667244348136592,0.2,1310,0.0003,0.014729291,0.1107666015625,-2.8296317361295222
520,99.3,-265.97714,544768,133,1046,573.3188043355942,186.6808624267578,0.6125397086143494,-0.010270356749242638,0.2,1320,0.0003,0.013449065,0.09580078125,-2.757395188882947
520,99.1,-268.88702,548864,134,1054,483.9841818809509,160.65760803222656,0.6777510046958923,-0.009999875475114096,0.2,1330,0.0003,0.014444869,0.112451171875,-2.709140819683671
520,97.41,-268.57767,552960,135,1062,516.6777305126191,248.1853790283203,0.6023964583873749,-0.009706956216541584,0.2,1340,0.0003,0.013888007,0.11552734375,-2.6894539963454007
520,100.29,-271.66257,557056,136,1069,492.498979473114,120.5204086303711,0.6581107676029205,-0.010395900592993713,0.2,1350,0.0003,0.017137362,0.1353759765625,-2.7552519850432873
520,101.6,-275.0219,561152,137,1077,423.38856160640717,187.57431030273438,0.6128266751766205,-0.009091208190147882,0.2,1360,0.0003,0.015200394,0.1058837890625,-2.6199482671916483
520,102.15,-280.2177,565248,138,1085,430.31753420829773,169.11988830566406,0.6883885562419891,-0.010856929533474613,0.2,1370,0.0003,0.014490208,0.1106689453125,-2.7316409319639208
520,101.12,-279.09882,569344,139,1093,473.88002762794497,133.12135314941406,0.640374094247818,-0.01158834230445791,0.2,1380,0.0003,0.021666966,0.14697265625,-2.6119541421532633
520,95.34,-251.6502,573440,140,1101,489.94737858772277,144.92698669433594,0.6762811541557312,-0.008203087778383633,0.2,1390,0.0003,0.014783138,0.1063232421875,-2.544052743539214
520,94.7,-250.72752,577536,141,1109,519.3250596046448,185.6333465576172,0.5526542663574219,-0.011517121724318713,0.2,1400,0.0003,0.013788689,0.1094970703125,-2.5854498192667963
520,95.75,-254.92186,581632,142,1117,489.4296616792679,170.7581787109375,0.6731376349925995,-0.010599699956583209,0.2,1410,0.0003,0.013090936,0.10400390625,-2.615044553950429
520,97.13,-261.22952,585728,143,1125,508.15577867031095,125.74105072021484,0.5869540870189667,-0.010544821801886428,0.2,1420,0.0003,0.016370714,0.1165283203125,-2.597503288090229
520,93.52,-247.21684,589824,144,1132,542.7600353002548,346.63671875,0.6063253283500671,-0.010454814216063823,0.2,1430,0.0003,0.018001892,0.09619140625,-2.5980545211583377
520,93.68,-240.33266,593920,145,1140,549.7817139148713,296.8258972167969,0.6090545356273651,-0.011476634622522398,0.2,1440,0.0003,0.01499358,0.103857421875,-2.518070327118039
520,95.73,-243.11777,598016,146,1148,534.271841096878,227.85462951660156,0.6155081391334534,-0.010134511147043668,0.2,1450,0.0003,0.014032932,0.103955078125,-2.5059745837002994
520,97.73,-246.52107,602112,147,1156,536.6162430047989,229.8253173828125,0.628254771232605,-0.009390069204891915,0.2,1460,0.0003,0.016971543,0.11826171875,-2.5734068661928178
520,97.32,-241.78824,606208,148,1164,464.1352851629257,179.62881469726562,0.6141890287399292,-0.011192495304203475,0.2,1470,0.0003,0.016200945,0.131298828125,-2.4469448309391737
520,95.65,-229.52356,610304,149,1172,514.104902267456,151.8709259033203,0.5439363420009613,-0.009068227323587053,0.2,1480,0.0003,0.01974343,0.148681640625,-2.4329502936452627
520,99.91,-242.39001,614400,150,1179,378.0363070964813,140.47256469726562,0.693127453327179,-0.014135482578421944,0.2,1490,0.0003,0.016127236,0.140283203125,-2.4758236587047575
520,98.83,-235.97964,618496,151,1187,370.7513931035995,181.07847595214844,0.6435433328151703,-0.010939355464506662,0.2,1500,0.0003,0.014333999,0.125732421875,-2.477221158519387
520,97.07,-233.51439,622592,152,1195,399.6374436855316,125.68888092041016,0.6663977801799774,-0.011271756845962955,0.2,1510,0.0003,0.0151698515,0.104931640625,-2.407311298698187
