rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/approx_kl,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range
1545.2299,19975,953,438.04,155,19046400,0.028774768,-0.004996452480554581,1540,-3.083144673034549,0.10904583803654531,0.0003,0.8124759644269943,-0.006960211151942228,0.2567822265625,0.2
1488.3501,20103,953,430.76,156,19169280,0.028630478,0.008519390597939491,1550,-3.147869385331869,0.1022622710353365,0.0003,0.787426307797432,-0.0077749679732733055,0.25451497395833333,0.2
1496.486,20232,953,434.2,157,19292160,0.029045928,0.03431190550327301,1560,-3.108308954536915,0.10116626476097736,0.0003,0.83034847676754,-0.007197892160305249,0.25711507161458336,0.2
1527.5778,20361,953,436.98,158,19415040,0.028318558,0.11992515623569489,1570,-3.094617048278451,0.0993253428976459,0.0003,0.8278235197067261,-0.006969258715889737,0.25018717447916666,0.2
1474.1073,20489,953,425.2,159,19537920,0.028578723,-0.01223764568567276,1580,-3.090931115398804,0.10500906848862845,0.0003,0.8091902881860733,-0.007235746604395293,0.2535172526041667,0.2
1526.412,20620,953,434.2,160,19660800,0.029283928,-0.015225589275360107,1590,-3.0654693281898897,0.10424755577517014,0.0003,0.827861487865448,-0.006577124049733054,0.25135009765625,0.2
1543.5415,20748,953,438.58,161,19783680,0.0291526,0.009612802416086197,1600,-3.0807615607852736,0.10895363165225717,0.0003,0.8197280317544937,-0.006844724706182508,0.25274983723958333,0.2
1537.4275,20877,953,439.56,162,19906560,0.029402016,0.014393340796232224,1610,-3.0809602702409027,0.10694999315800184,0.0003,0.8163644522428513,-0.006657584466811386,0.2544051106770833,0.2
1553.7803,21007,953,442.24,163,20029440,0.028190123,-0.01900409907102585,1620,-3.0651913799221315,0.09286417119209849,0.0003,0.8295087814331055,-0.007120971572603594,0.2518798828125,0.2
1524.9712,21135,953,435.2,164,20152320,0.02936399,0.01671525090932846,1630,-3.087386506063243,0.10722543853723134,0.0003,0.8185383528470993,-0.007114447776457382,0.250634765625,0.2
1541.7686,21269,953,437.02,165,20275200,0.029486543,0.04948833957314491,1640,-3.108062802317242,0.09879484254667963,0.0003,0.8159822821617126,-0.00737387003542608,0.24918050130208333,0.2
1523.7917,21399,953,435.64,166,20398080,0.02892493,0.1944529116153717,1650,-3.1184790447105963,0.11890740025793396,0.0003,0.7825165838003159,-0.008166336517327484,0.2522477213541667,0.2
1570.8835,21527,953,444.68,167,20520960,0.029311629,0.0077714696526527405,1660,-3.087750225129227,0.10035469860027661,0.0003,0.8130476623773575,-0.006853322953423534,0.25237060546875,0.2
1573.3179,21658,953,444.5,168,20643840,0.028510906,0.06708110868930817,1670,-3.0801445211221776,0.1030767011269442,0.0003,0.8174498975276947,-0.00740272557316833,0.24876220703125,0.2
1552.8733,21789,953,442.26,169,20766720,0.029261328,0.03538408875465393,1680,-3.0721045843015116,0.10034171553517808,0.0003,0.8081637769937515,-0.007470994107801138,0.25203776041666665,0.2
1558.593,21918,953,440.34,170,20889600,0.028451439,0.016717050224542618,1690,-3.0391665232554077,0.09849590774363605,0.0003,0.8020172268152237,-0.007202656629336464,0.25104654947916666,0.2
1557.9667,22047,953,440.76,171,21012480,0.029503668,0.021671112626791,1700,-3.024882411348323,0.1010364329184813,0.0003,0.8202186077833176,-0.00712129300869492,0.2522916666666667,0.2
1542.797,22176,953,444.46,172,21135360,0.028717076,0.0449703186750412,1710,-3.02551976159215,0.1023328112171051,0.0003,0.7816455811262131,-0.006659517963429001,0.2501652018229167,0.2
1501.9865,22307,952,423.78,173,21258240,0.030439375,0.038836121559143066,1720,-3.018892433407406,0.09860399471183579,0.0003,0.8145089149475098,-0.007363842789442666,0.25660074869791666,0.2
1548.9465,22436,952,441.76,174,21381120,0.030098358,0.05241716280579567,1730,-3.048478410380582,0.10079992340809743,0.0003,0.8306781947612762,-0.007683854483275354,0.25762288411458334,0.2
1550.4606,22567,952,446.46,175,21504000,0.028567484,0.020794304087758064,1740,-3.039193009895583,0.10196615373206441,0.0003,0.8010278940200806,-0.0065913616486614045,0.24701171875,0.2
1531.4368,22724,951,433.76,176,21626880,0.028995192,0.0036479346454143524,1750,-3.0220795708273847,0.09708750202436932,0.0003,0.825981616973877,-0.006827546418608108,0.24899495442708333,0.2
1535.744,22853,951,438.82,177,21749760,0.028906673,0.0002942979335784912,1760,-3.0303122282028196,0.1021712264654343,0.0003,0.8274261653423309,-0.007040859808742728,0.24725016276041667,0.2
1530.8035,22984,951,438.18,178,21872640,0.029321682,0.04859154671430588,1770,-3.014673225954175,0.10271398175129434,0.0003,0.8148700892925262,-0.0073451339356567285,0.25055582682291666,0.2
1442.8517,23113,951,409.86,179,21995520,0.029656088,0.025539159774780273,1780,-2.971381023762127,0.1174064541500411,0.0003,0.8199026584625244,-0.006500961548417763,0.2507755533854167,0.2
1577.9694,23242,951,447.2,180,22118400,0.029060522,-0.013883799314498901,1790,-3.0023398394634326,0.11113307293819769,0.0003,0.8244326263666153,-0.006503756308787464,0.24935465494791667,0.2
