time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/learning_rate,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance
756,81,13158,438.66,9953280,1428.439,-3.0264752032856146,0.0003,0.49150634765625,0.2,0.10661271,0.09290530406525553,-0.03726375102996826,800,-0.01255181994677211,0.7959660440683365
756,82,13323,441.66,10076160,1461.9884,-2.9935969712336856,0.0003,0.4972119140625,0.2,0.113205165,0.10134998528204354,-0.015454867854714394,810,-0.01181379098037117,0.8054715842008591
756,83,13489,444.06,10199040,1449.97,-3.0386978478233018,0.0003,0.491064453125,0.2,0.107525446,0.1067767096721218,0.027319224551320076,820,-0.012303086189437333,0.7797612398862839
755,84,13658,438.1,10321920,1431.348,-3.051094974031051,0.0003,0.49081624348958336,0.2,0.10525672,0.11640842592775395,-0.003715191036462784,830,-0.011278422320895818,0.7381772696971893
755,85,13827,445.04,10444800,1467.1155,-3.0858800245697298,0.0003,0.4839396158854167,0.2,0.10377655,0.1223181896544702,0.023095689713954926,840,-0.012366952632334383,0.7545428574085236
755,86,13995,435.62,10567680,1419.8303,-3.0182990282277267,0.0003,0.49388753255208334,0.2,0.10955404,0.11793116338555895,-0.014217771589756012,850,-0.011193353393749324,0.7496726810932159
754,87,14162,436.02,10690560,1409.399,-2.99741089190046,0.0003,0.4897265625,0.2,0.10997137,0.1201379626605679,0.09991707652807236,860,-0.010623526352270953,0.768785759806633
754,88,14330,444.98,10813440,1447.3901,-2.910569531855484,0.0003,0.49993245442708334,0.2,0.11623696,0.09626202095484283,0.02495625615119934,870,-0.010937464332412977,0.7788742184638977
754,89,14497,439.28,10936320,1425.9976,-2.869540778224667,0.0003,0.5001310221354167,0.2,0.11600113,0.08483026005196734,-0.06457698345184326,880,-0.010565325495717844,0.7847215384244919
754,90,14664,438.52,11059200,1428.6196,-2.827603652526935,0.0003,0.5016902669270833,0.2,0.11906986,0.08730563211671931,0.01154756173491478,890,-0.010101128229759221,0.7954357862472534
753,91,14833,429.2,11182080,1394.0474,-2.842711496067544,0.0003,0.5019791666666666,0.2,0.122092105,0.08691187497572779,-0.03676557540893555,900,-0.009432215519736928,0.7931888401508331
752,92,15015,436.82,11304960,1452.4386,-2.833875388664504,0.0003,0.5004646809895833,0.2,0.12193913,0.09296725091689344,0.011038650758564472,910,-0.009534181360710742,0.8152512013912201
752,93,15180,433.46,11427840,1401.8864,-2.8625333380823332,0.0003,0.4963273111979167,0.2,0.12055895,0.09860636158210885,0.056753262877464294,920,-0.010439670763917093,0.7854909896850586
752,94,15347,436.1,11550720,1433.8119,-2.85690598813196,0.0003,0.4994099934895833,0.2,0.11955198,0.08947335433927947,0.020378023386001587,930,-0.010476824786862076,0.8148619383573532
750,95,15548,446.78,11673600,1454.0381,-2.8637014523024362,0.0003,0.49735921223958335,0.2,0.119348995,0.09543922587069877,-0.021663008257746696,940,-0.010814785881824112,0.7835680097341537
750,96,15717,440.12,11796480,1463.1132,-2.8635749645903705,0.0003,0.4971183268229167,0.2,0.12113984,0.10355701763925027,0.04303581267595291,950,-0.010026569781681852,0.7753952592611313
750,97,15884,442.06,11919360,1450.6438,-2.8531448777019977,0.0003,0.4925667317708333,0.2,0.11802758,0.09063956002321599,0.05460980162024498,960,-0.010209470365001229,0.7880277335643768
750,98,16052,437.84,12042240,1458.2128,-2.8707935483629505,0.0003,0.4940340169270833,0.2,0.12061004,0.11704187073541107,-0.028890274465084076,970,-0.008915133899584664,0.7607271075248718
749,99,16221,436.12,12165120,1474.8237,-2.8468616474295656,0.0003,0.4908805338541667,0.2,0.11815718,0.11598254266709167,-0.01938008889555931,980,-0.010217351071253992,0.7530492842197418
749,100,16390,445.12,12288000,1486.8561,-2.87655614990741,0.0003,0.48632731119791667,0.2,0.11822782,0.10041925067596215,0.0013398714363574982,990,-0.010744459059684838,0.7722129374742508
749,101,16554,449.32,12410880,1502.0127,-2.838059976225098,0.0003,0.48844482421875,0.2,0.11767486,0.11731743969925447,0.03131946548819542,1000,-0.009522485503584904,0.759348526597023
749,102,16720,439.98,12533760,1484.6401,-2.8528443237394097,0.0003,0.48466878255208334,0.2,0.114091225,0.11434933506946739,0.018113013356924057,1010,-0.010309434608825541,0.7321425676345825
749,103,16885,431.72,12656640,1451.7588,-2.877069542768101,0.0003,0.484775390625,0.2,0.115698926,0.1180386135969214,0.03165421634912491,1020,-0.009971552698783246,0.7235119342803955
749,104,17051,443.54,12779520,1497.2881,-2.8611184057841696,0.0003,0.4868880208333333,0.2,0.113446616,0.11851112121391148,0.05003048852086067,1030,-0.010688416799206001,0.730603963136673
749,105,17217,447.28,12902400,1506.14,-2.84382121582826,0.0003,0.48423909505208335,0.2,0.114736885,0.10674781848239945,0.08681593835353851,1040,-0.009854276940107714,0.7290911078453064
