rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction
425.66,7004160,973,57,1308.0892,7192,-0.0076885910399141725,0.0003,0.14573882915554956,0.2,0.024848556,0.14709270000457764,0.8202380985021591,560,-3.628514229059219,0.25689290364583334
427.12,7127040,973,58,1341.2825,7320,-0.00793877779967564,0.0003,0.13438569823173263,0.2,0.024745815,0.042643867433071136,0.807234600186348,570,-3.612268621188899,0.25568277994791666
431.84,7249920,973,59,1365.5548,7446,-0.008607834590608642,0.0003,0.13996635448090577,0.2,0.024928989,0.06584864854812622,0.7935154438018799,580,-3.6216501062984268,0.25656575520833336
415.22,7372800,973,60,1316.445,7573,-0.008068492275239501,0.0003,0.10770537608487454,0.2,0.02511695,0.005307678133249283,0.8301348686218262,590,-3.6206236380090315,0.25509847005208336
432.8,7495680,973,61,1351.1628,7699,-0.008147101835723636,0.0003,0.13566280599916353,0.2,0.024605267,0.05859633907675743,0.8366358131170273,600,-3.6114807810510197,0.25249755859375
435.36,7618560,971,62,1361.8263,7838,-0.008303016547918863,0.0003,0.11805078957035828,0.2,0.024771659,0.013519477099180222,0.8633344024419785,610,-3.6046850487217306,0.25278157552083336
432.18,7741440,971,63,1358.8154,7965,-0.007632363901193457,0.0003,0.13209536286226164,0.2,0.025362695,0.02013448067009449,0.7996102124452591,620,-3.5842806034659347,0.25439127604166667
443.98,7864320,971,64,1383.391,8092,-0.007948480209185316,0.0003,0.13182659100149371,0.2,0.024780078,-0.008318178355693817,0.8246977925300598,630,-3.600122457717856,0.2548697916666667
423.54,7987200,971,65,1322.2236,8220,-0.008273267792822784,0.0003,0.1487146564082165,0.2,0.026015986,0.061508193612098694,0.7930632829666138,640,-3.5922881687184174,0.2585017903645833
440.3,8110080,971,66,1390.2634,8346,-0.008420767521699114,0.0003,0.11799731158690217,0.2,0.025263982,0.05505136027932167,0.8350921273231506,650,-3.58784364271909,0.25556640625
422.6,8232960,971,67,1343.8999,8478,-0.00784675310866684,0.0003,0.13865985366525516,0.2,0.025422283,0.020814383402466774,0.7978800684213638,660,-3.573547713023921,0.25833821614583335
421.58,8355840,971,68,1341.5446,8603,-0.008114235614863598,0.0003,0.15231805098747525,0.2,0.025424996,0.2843601107597351,0.8142358213663101,670,-3.5534070687368513,0.2567415364583333
443.02,8478720,970,69,1409.5022,8736,-0.0076963604046856446,0.0003,0.12807326739188285,0.2,0.024632124,0.07351820170879364,0.8404472917318344,680,-3.549018971212208,0.253828125
433.82,8601600,970,70,1364.5674,8863,-0.007658242241753517,0.0003,0.12209060943122797,0.2,0.025495136,0.039099499583244324,0.8188136518001556,690,-3.5521525297065577,0.2562255859375
434.3,8724480,970,71,1366.774,8989,-0.008044710016353445,0.0003,0.145157446746598,0.2,0.02588401,0.018467050045728683,0.8100457787513733,700,-3.5417034655685224,0.260380859375
440.84,8847360,970,72,1403.1232,9114,-0.007792182058413649,0.0003,0.13892248407025667,0.2,0.025729895,0.0034665297716856003,0.814998134970665,710,-3.529381780748566,0.25571126302083336
444.9,8970240,970,73,1427.4237,9239,-0.007894153015028375,0.0003,0.13263377545401453,0.2,0.025734771,0.10234931111335754,0.8104470819234848,720,-3.5064400437350076,0.25654215494791666
431.64,9093120,969,74,1348.6963,9375,-0.008186183891545322,0.0003,0.1337035259635498,0.2,0.026300373,0.06577830016613007,0.8049124777317047,730,-3.505470035063724,0.2616259765625
447.86,9216000,969,75,1405.1857,9503,-0.007644235086002785,0.0003,0.13583440141519532,0.2,0.026204186,0.02791338413953781,0.7923476099967957,740,-3.4661227825532355,0.2612532552083333
435.46,9338880,968,76,1397.7227,9646,-0.007965405586861986,0.0003,0.127308548927928,0.2,0.02629295,-0.0010955370962619781,0.7343018651008606,750,-3.4860553339620433,0.2578352864583333
438.74,9461760,968,77,1389.4421,9771,-0.008189929449811947,0.0003,0.14244534202841655,0.2,0.026046535,0.06537538021802902,0.7828942686319351,760,-3.4981376712272563,0.25888997395833335
424.9,9584640,968,78,1361.5227,9898,-0.007373792620486105,0.0003,0.13514874921296724,0.2,0.025960283,0.053931210190057755,0.7917353212833405,770,-3.4787046103924513,0.25839029947916664
425.82,9707520,968,79,1374.3516,10027,-0.007584106758913549,0.0003,0.14411971120648862,0.2,0.026707577,0.08031158149242401,0.7665975689888,780,-3.4846118933210772,0.25937581380208335
439.26,9830400,967,80,1394.0691,10155,-0.007509133623455758,0.0003,0.12617341702794269,0.2,0.025565706,0.12491361796855927,0.8489327132701874,790,-3.49523902511845,0.25574462890625
436.5,9953280,968,81,1399.311,10281,-0.007562456264561964,0.0003,0.1374133329768665,0.2,0.02622295,0.04109063744544983,0.8256330639123917,800,-3.4769287155071895,0.25723470052083336
446.16,10076160,968,82,1460.5123,10407,-0.007845612955270554,0.0003,0.14987754798668904,0.2,0.026652457,0.027030272409319878,0.7796540856361389,810,-3.4708074298501015,0.25871175130208335
414.52,10199040,967,83,1330.841,10545,-0.007812957583191747,0.0003,0.12092106099036755,0.2,0.02572593,0.06952273845672607,0.8280151933431625,820,-3.4674287964900334,0.25686442057291664
431.04,10321920,967,84,1395.0486,10673,-0.008075591748165608,0.0003,0.1325970987213077,0.2,0.026610544,0.07415272295475006,0.800086721777916,830,-3.4246605074902376,0.261171875
433.86,10444800,967,85,1387.7443,10799,-0.007306472591092946,0.0003,0.12380687645403668,0.2,0.025020102,0.01794195920228958,0.7882070392370224,840,-3.453822988793254,0.24951334635416667
442.34,10567680,966,86,1419.111,10935,-0.00793245246383473,0.0003,0.13157117261687137,0.2,0.026054315,0.06376299262046814,0.829371765255928,850,-3.4359967345620195,0.25558024088541664
418.58,10690560,965,87,1357.924,11069,-0.007614618767408198,0.0003,0.11697827533391925,0.2,0.02668987,0.01635676994919777,0.8168547451496124,860,-3.4299437688787777,0.25808512369791664
431.34,10813440,965,88,1404.2479,11195,-0.007397515159336763,0.0003,0.13032500323839485,0.2,0.026213014,0.023280005902051926,0.833060622215271,870,-3.4349536900843183,0.25593668619791665
418.5,10936320,965,89,1330.225,11329,-0.007326628844099711,0.0003,0.12836432975542267,0.2,0.025762621,-0.011311523616313934,0.8349346667528152,880,-3.4634532709543904,0.2512451171875
427.08,11059200,965,90,1409.0061,11456,-0.007886912306591208,0.0003,0.14359238211831932,0.2,0.026188517,0.0030484087765216827,0.7972798645496368,890,-3.4298853773872056,0.2533675130208333
416.08,11182080,965,91,1365.9564,11584,-0.007687659224017504,0.0003,0.1458891421853332,0.2,0.025396563,0.10962819308042526,0.7797968983650208,900,-3.458078795795639,0.2511726888020833
437.9,11304960,965,92,1413.376,11710,-0.008088291954948848,0.0003,0.1293132482569005,0.2,0.025283795,0.0626411959528923,0.8080725520849228,910,-3.42706546805799,0.25232259114583333
431.06,11427840,965,93,1405.7958,11838,-0.007200628528874707,0.0003,0.1434189468981155,0.2,0.026435055,0.050077278167009354,0.7814474701881409,920,-3.372305897821983,0.25153238932291666
426.84,11550720,965,94,1400.3037,11969,-0.007573899492393441,0.0003,0.1454858337814221,0.2,0.026422253,0.058979399502277374,0.7901430577039719,930,-3.387757825627923,0.25487955729166667
