time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/entropy_loss
15728640,387.93333333333334,1472.837,696,128,22594,0.0002,0.06722995638847351,0.7154781520366669,0.4019970703125,3200,-0.008194833618557216,0.12904729199197998,0.2,0.15420514,-1.1483038133538017
15851520,377.93333333333334,1478.6769,696,129,22769,0.0002,0.005934605374932289,0.6751839220523834,0.40142415364583334,3210,-0.007614449351555474,0.1406296146386497,0.2,0.15113904,-1.1415289023611694
15974400,387.3333333333333,1494.3314,696,130,22944,0.0002,0.02889922820031643,0.7058110535144806,0.40182373046875,3220,-0.007553268757452922,0.13361504603381036,0.2,0.14845438,-1.1371810343892623
16097280,333.1333333333333,1299.3765,696,131,23119,0.0002,0.02124582976102829,0.6871102750301361,0.40158935546875,3230,-0.007491544000658905,0.14600053078019604,0.2,0.15386729,-1.1244287746710082
16220160,389.2,1501.1646,696,132,23295,0.0002,0.10111701488494873,0.6765366792678833,0.40671956380208335,3240,-0.007151545203948141,0.1368410419097442,0.2,0.15434523,-1.1201208607728284
16343040,356.6,1368.9752,696,133,23470,0.0002,0.019297722727060318,0.7047343254089355,0.40337158203125,3250,-0.007518385569043554,0.14272683901013805,0.2,0.14968204,-1.1320123894978316
16465920,344.8,1355.5142,696,134,23647,0.0002,0.11813268810510635,0.6821354031562805,0.40662353515625,3260,-0.007484811021064767,0.13749811144875518,0.2,0.15398477,-1.1323738634058584
16588800,358.46666666666664,1382.6594,696,135,23823,0.0002,0.10956181585788727,0.6763879656791687,0.40310302734375,3270,-0.008323833682795035,0.1389951259442023,0.2,0.15032253,-1.1591876221603403
16711680,362.46666666666664,1399.6785,696,136,24002,0.0002,0.0018936432898044586,0.6781816482543945,0.4023282877604167,3280,-0.008201805747388184,0.14515432170805675,0.2,0.15555137,-1.1427518000733108
16834560,342.6,1333.157,696,137,24182,0.0002,-0.023349877446889877,0.7084830403327942,0.3990885416666667,3290,-0.007974819665990557,0.13365218588936842,0.2,0.1508721,-1.12355100061434
16957440,403.8,1541.1637,696,138,24361,0.0002,0.032487496733665466,0.675555020570755,0.39689208984375,3300,-0.007248269255190583,0.14026622657179055,0.2,0.1523394,-1.1162439199785392
17080320,383.8,1452.357,696,139,24540,0.0002,0.07806351035833359,0.6692978143692017,0.40009440104166666,3310,-0.007364924363440271,0.14488511614123126,0.2,0.15150693,-1.1120245414723953
