time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/clip_range
21135360,302,69963,129,779.3298,450.0,0.0,0.0,0.9463323131203651,-2.496335582691245e-11,1280,0.0003,-2.2482178792493065e-10,0.05954620297985002,0.016362477093935013,0.2
21299200,302,70503,130,913.97144,450.0,0.0,0.0,0.948020126670599,4.006324161309749e-12,1290,0.0003,-1.8340765317173882e-10,0.054923172676517425,0.04679642990231514,0.2
21463040,302,71043,131,981.73047,450.0,0.0,0.0,0.9522095732390881,-4.926619112666231e-11,1300,0.0003,-2.1727417221108604e-10,0.052205580670383826,0.008296752348542213,0.2
21626880,302,71585,132,1000.4035,450.0,0.0,0.0,0.943019188940525,1.0439407560625113e-10,1310,0.0003,-2.0547717848658655e-10,0.0617937475598319,0.05583366006612778,0.2
21790720,302,72118,133,1002.036,450.0,0.0,0.0,0.9576542489230633,3.830052719422383e-11,1320,0.0003,-1.7454427009907116e-10,0.04263803506134764,0.021843798458576202,0.2
21954560,302,72650,134,1003.7688,450.0,0.0,0.0,0.9401023015379906,-4.255525709595531e-11,1330,0.0003,-2.2461314060702886e-10,0.06677670896493965,0.0398998036980629,0.2
22118400,302,73181,135,980.7933,450.0,0.0,0.0,0.9538780637085438,-1.1178372005815618e-10,1340,0.0003,-1.8173863542715868e-10,0.046470788342544436,0.003519209334626794,0.2
22282240,302,73722,136,998.57477,450.0,0.0,0.0,0.9460597299039364,7.550909231213154e-11,1350,0.0003,-1.9584216450431912e-10,0.058964649093068144,0.04921632260084152,0.2
22446080,302,74259,137,914.7978,450.0,0.0,0.0,0.9562194086611271,-1.9662820704979821e-10,1360,0.0003,-2.0828665378601689e-10,0.04857567411277614,0.002761072013527155,0.2
22609920,302,74800,138,961.34674,450.0,0.0,0.0,0.9459445439279079,-1.9888375391019508e-11,1370,0.0003,-1.7482793424335544e-10,0.056071220179551344,0.025926830247044563,0.2
22773760,302,75330,139,981.6886,450.0,0.0,0.0,0.9397227801382542,2.7501982913236133e-11,1380,0.0003,-2.040405300237681e-10,0.06287584012987281,0.08698956668376923,0.2
22937600,302,75863,140,960.5274,450.0,0.0,0.0,0.9557132981717587,-4.269963937986176e-11,1390,0.0003,-1.7538752417078397e-10,0.04507687515958423,0.011243794113397598,0.2
23101440,302,76403,141,1003.8088,450.0,0.0,0.0,0.9447819218039513,1.9590629563026596e-10,1400,0.0003,-1.767154539983795e-10,0.05750249838039963,0.055379875004291534,0.2
23265280,302,76940,142,1002.0647,450.0,0.0,0.0,0.9469037689268589,-2.0783772924914957e-10,1410,0.0003,-2.2379991648221543e-10,0.05772141193391235,0.008532172068953514,0.2
23429120,302,77472,143,758.9286,450.0,0.0,0.0,0.9461985193192959,-7.525841283495538e-11,1420,0.0003,-1.813039107215165e-10,0.05860618378408617,0.010824494063854218,0.2
23592960,302,78007,144,1005.4063,450.0,0.0,0.0,0.9597840085625648,-8.384517968806904e-11,1430,0.0003,-1.6305375437930298e-10,0.04064689380313211,0.0012680821819230914,0.2
23756800,302,78547,145,867.4286,450.0,0.0,0.0,0.938710656017065,4.7866706154309215e-11,1440,0.0003,-1.8983173145407602e-10,0.06622715421071007,0.038276106119155884,0.2
23920640,302,79085,146,829.19495,450.0,0.0,0.0,0.9580276049673557,3.194713826815132e-11,1450,0.0003,-1.5743018649556213e-10,0.042901589020718806,0.014129316434264183,0.2
24084480,302,79620,147,980.00616,450.0,0.0,0.0,0.9471728205680847,4.546109266811982e-11,1460,0.0003,-1.5214700712875467e-10,0.05354792348131468,0.008154676295816898,0.2
24248320,302,80159,148,842.14813,450.0,0.0,0.0,0.9463955201208591,2.9931470635347065e-11,1470,0.0003,-1.65448046830034e-10,0.056200287883239074,0.015386690385639668,0.2
