time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl
14421,698,1522.0087,82,10076160,405.6,0.41871988932291665,2740,0.2,0.0002,0.05586293339729309,-0.006909608984806255,0.13212184566635793,0.6688826680183411,-1.1319109010789543,0.15888499
14598,698,1513.6952,83,10199040,401.0,0.4187874348958333,2750,0.2,0.0002,0.05737712234258652,-0.007128163562022867,0.14288358628905068,0.6611614227294922,-1.1358917108581712,0.1596236
14776,698,1592.5647,84,10321920,416.46666666666664,0.41859049479166666,2760,0.2,0.0002,0.053682874888181686,-0.0070031958786967155,0.14143716814927756,0.637283056974411,-1.1470216712821275,0.1557127
14953,698,1346.2185,85,10444800,354.3333333333333,0.420107421875,2770,0.2,0.0002,0.06135653331875801,-0.00635590675973314,0.1354063283413416,0.6450840532779694,-1.1589492239120105,0.1540292
15131,698,1517.47,86,10567680,401.73333333333335,0.41703450520833335,2780,0.2,0.0002,0.03938167542219162,-0.006700318707322974,0.1436903500171805,0.6487789154052734,-1.1224144553982962,0.16306384
15305,698,1381.5022,87,10690560,363.1333333333333,0.4196533203125,2790,0.2,0.0002,0.011367399245500565,-0.006574297364610781,0.14205350522107135,0.6483184099197388,-1.1391937695164234,0.16025926
15482,698,1470.0195,88,10813440,390.6666666666667,0.41906982421875,2800,0.2,0.0002,0.11811050772666931,-0.006965405164604211,0.1360514459774519,0.6677680313587189,-1.1800949072496345,0.15093751
15661,698,1419.3289,89,10936320,370.6666666666667,0.415,2810,0.2,0.0002,-0.013533828780055046,-0.006563333157976861,0.13652665924426402,0.6620774567127228,-1.138925455880041,0.16130598
15837,698,1585.162,90,11059200,422.93333333333334,0.41771240234375,2820,0.2,0.0002,0.0398971363902092,-0.007289952636859501,0.17047864549890315,0.5651488900184631,-1.1468003446329385,0.15174446
16014,698,1456.6117,91,11182080,381.3333333333333,0.416044921875,2830,0.2,0.0002,0.054474856704473495,-0.005851585939853976,0.23526679153854882,0.5314178466796875,-1.152069707000628,0.15716536
16191,698,1447.6738,92,11304960,379.4,0.41555338541666664,2840,0.2,0.0002,0.004490364342927933,-0.0065915578842759715,0.15197814184134284,0.5461406409740448,-1.1562203047734996,0.15608397
16370,698,1540.9216,93,11427840,410.6,0.41522542317708333,2850,0.2,0.0002,-0.027658972889184952,-0.0067395776690864296,0.166219981975543,0.564335972070694,-1.156963564598312,0.15489326
16548,697,1523.7877,94,11550720,402.53333333333336,0.417197265625,2860,0.2,0.0002,-0.011458354070782661,-0.007090387436189,0.15336765198939248,0.5616985857486725,-1.148298271059369,0.15283875
16727,697,1562.7878,95,11673600,413.53333333333336,0.4159090169270833,2870,0.2,0.0002,0.24786145985126495,-0.007190683150887101,0.16908005321204353,0.5906840264797211,-1.16603376411212,0.15353508
16904,697,1395.6282,96,11796480,369.1333333333333,0.41648763020833335,2880,0.2,0.0002,0.06025528162717819,-0.00681389400600286,0.18790748693204173,0.42368048429489136,-1.1419316117403409,0.15487918
17083,697,1402.8704,97,11919360,373.46666666666664,0.41541259765625,2890,0.2,0.0002,0.0562765970826149,-0.006737295751360458,0.184725741474637,0.5163171589374542,-1.131174162166814,0.15507056
17263,697,1540.2522,98,12042240,399.4,0.41527669270833334,2900,0.2,0.0002,-0.003483666107058525,-0.007456664447502892,0.16423182995504854,0.5686172842979431,-1.1660302474567046,0.15269057
17440,697,1517.6682,99,12165120,397.8666666666667,0.4194791666666667,2910,0.2,0.0002,0.03147858753800392,-0.0040744672631505335,0.4464106047396005,0.5800633430480957,-1.1502334781643002,0.15687723
17621,697,1569.0925,100,12288000,410.0,0.41432861328125,2920,0.2,0.0002,0.07445712387561798,-0.006401969088547049,0.1534115350987607,0.6287367045879364,-1.1379949697541694,0.15444635
17799,697,1685.4962,101,12410880,445.73333333333335,0.41487060546875,2930,0.2,0.0002,0.04984314739704132,-0.0057185379386767935,0.2503074348694645,-0.0035876035690307617,-1.1449746712452422,0.15475963
17976,697,1457.6652,102,12533760,382.3333333333333,0.4114103190104167,2940,0.2,0.0002,0.03842463344335556,-0.006168711634290958,0.18031268876628018,0.17193347215652466,-1.1406088034529238,0.15256812
18154,697,1600.4634,103,12656640,420.0,0.4149576822916667,2950,0.2,0.0002,0.0381002277135849,-0.006008974565186994,0.15983556426207846,0.5393582582473755,-1.1446835734136402,0.15264876
18333,697,1463.5602,104,12779520,379.93333333333334,0.4144816080729167,2960,0.2,0.0002,0.17360612750053406,-0.006230009687205893,0.16236531408707378,0.45597147941589355,-1.1299184007228662,0.1539171
18512,696,1714.4149,105,12902400,444.26666666666665,0.4194059244791667,2970,0.2,0.0002,0.08914518356323242,-0.0037506913503542213,0.39515567653463224,0.22923940420150757,-1.1639800146967172,0.15435693
18690,696,1318.2478,106,13025280,347.06666666666666,0.4136865234375,2980,0.2,0.0002,0.039768047630786896,-0.005098197679459796,0.7157868224587097,0.48062998056411743,-1.1612431703632076,0.15095074
18869,696,1694.1074,107,13148160,443.53333333333336,0.41167643229166667,2990,0.2,0.0002,0.019793331623077393,-0.006318360206690462,0.18978606203037393,0.5414250493049622,-1.157874480926742,0.14842634
19058,696,1465.1241,108,13271040,386.06666666666666,0.41721761067708335,3000,0.2,0.0002,0.28152957558631897,-0.0034615622707072666,1.1368811992539365,0.21280431747436523,-1.1450771120780459,0.15692088
19239,696,1640.673,109,13393920,430.4,0.41083251953125,3010,0.2,0.0002,-0.011680064722895622,-0.006716527297054805,0.15849521480675322,0.6279693245887756,-1.149687299191331,0.14933015
19421,695,1415.817,110,13516800,361.53333333333336,0.407978515625,3020,0.2,0.0002,-0.014793943613767624,-0.006740194384541004,0.15297066453747296,0.5956835746765137,-1.1398540551029146,0.14878108
19609,695,1541.8152,111,13639680,400.26666666666665,0.4153011067708333,3030,0.2,0.0002,0.10781648010015488,-0.0049276571941300066,2.1849825445243427,-0.42651116847991943,-1.1507043931695322,0.15352874
19790,695,1333.9149,112,13762560,343.93333333333334,0.41553141276041666,3040,0.2,0.0002,0.04684518277645111,-0.005388333064771966,1.2341583650017856,0.04718017578125,-1.154457719841351,0.15477544
19987,694,1601.994,113,13885440,415.4,0.41159423828125,3050,0.2,0.0002,0.016001272946596146,-0.007674629007979093,0.1511695265606977,0.6545316874980927,-1.1634716768097133,0.14786984
20171,694,1469.7117,114,14008320,376.2,0.4093424479166667,3060,0.2,0.0002,-0.004403460770845413,-0.007134647722220204,0.17976308180135675,0.46077555418014526,-1.1639149133084963,0.15167733
20355,694,1636.0587,115,14131200,429.1333333333333,0.41182291666666665,3070,0.2,0.0002,0.05400894954800606,-0.006864180674717015,0.19514856644518053,0.3074036240577698,-1.157569840901221,0.15394555
20537,694,1573.1931,116,14254080,415.06666666666666,0.40655029296875,3080,0.2,0.0002,0.0056413933634757996,-0.006858053981838263,0.15426136495778336,0.6447577774524689,-1.1519862017470102,0.1463413
20717,693,1533.0035,117,14376960,402.3333333333333,0.41210856119791667,3090,0.2,0.0002,0.043842241168022156,-0.007011642664847387,0.2083879302344091,0.28290098905563354,-1.1624730423682679,0.1487973
20899,693,1628.5887,118,14499840,422.8666666666667,0.4065234375,3100,0.2,0.0002,0.0021746940910816193,-0.006522645720639654,0.2189496448773813,0.3873087167739868,-1.1537365855369717,0.14742057
