time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/approx_kl
948,21774,168,20643840,1472.4536,405.46666666666664,-0.00557953169425673,0.9003708213567734,1670,-2.4134365748614073,0.18881194648386251,0.0003,0.2,0.2733536783854167,0.059143565595149994,0.03211176
948,21903,169,20766720,1482.05,406.26666666666665,-0.004968257656240288,0.8525593876838684,1680,-2.424824027108649,0.18997273083970262,0.0003,0.2,0.273193359375,0.04496387019753456,0.032869328
947,22039,170,20889600,1354.7991,382.53333333333336,-0.004954145334280232,0.8724009096622467,1690,-2.4291855851126214,0.18914161193155452,0.0003,0.2,0.27264404296875,0.008936002850532532,0.031248026
947,22168,171,21012480,1351.8329,380.4,-0.005202614793203489,0.8535202741622925,1700,-2.4057404172606764,0.19990707298750446,0.0003,0.2,0.27533203125,0.20126231014728546,0.032773566
947,22299,172,21135360,1508.9305,419.46666666666664,-0.005697383817414447,0.8562011420726776,1710,-2.396316331587732,0.17022660718444968,0.0003,0.2,0.27762776692708335,0.0855882316827774,0.03299777
947,22428,173,21258240,1318.4794,363.26666666666665,-0.005696088961819138,0.8643447458744049,1720,-2.3617678865542016,0.18852624075196217,0.0003,0.2,0.2778011067708333,0.025635862722992897,0.032910693
947,22559,174,21381120,1440.9515,406.6666666666667,-0.005245035630293084,0.878833957016468,1730,-2.3432751704069474,0.18567886878736317,0.0003,0.2,0.27304524739583336,0.16876275837421417,0.03261257
947,22689,175,21504000,1454.0009,407.8,-0.005630254452947459,0.8789866864681244,1740,-2.335382886920124,0.16681931377136303,0.0003,0.2,0.27342366536458335,0.08878554403781891,0.03225823
947,22819,176,21626880,1258.7585,345.26666666666665,-0.005617356510071355,0.867104560136795,1750,-2.3540769445089,0.17605846818565624,0.0003,0.2,0.2755867513020833,0.07104352116584778,0.033100475
947,22948,177,21749760,1531.9232,426.0,-0.004915112339622283,0.8882754519581795,1760,-2.334592562758674,0.18362887230051758,0.0003,0.2,0.2732373046875,0.04125039279460907,0.031610046
947,23080,178,21872640,1500.5634,423.4,-0.004942323424644807,0.8448805063962936,1770,-2.3255562089197337,0.19561186807627867,0.0003,0.2,0.27424560546875,-0.0010808827355504036,0.03199927
947,23212,179,21995520,1385.6868,394.26666666666665,-0.004904934804750761,0.8470390141010284,1780,-2.3123289306958514,0.17182300689368277,0.0003,0.2,0.27256429036458335,0.013340190052986145,0.031728275
947,23342,180,22118400,1418.5804,384.4,-0.00517717901432358,0.8458508849143982,1790,-2.3183857806461554,0.16638037579784093,0.0003,0.2,0.26873942057291667,0.005211092531681061,0.03141894
947,23471,181,22241280,1217.3956,337.53333333333336,-0.005439027377299984,0.8565856218338013,1800,-2.310804173387587,0.17267628925993145,0.0003,0.2,0.2741829427083333,0.0641380250453949,0.032890514
947,23601,182,22364160,1328.3379,382.4,-0.0054579782244036324,0.8811846524477005,1810,-2.3083226465495925,0.19245574729226064,0.0003,0.2,0.27380615234375,0.3804531991481781,0.032069042
947,23733,183,22487040,1329.295,361.3333333333333,-0.0052388422357398665,0.8786373436450958,1820,-2.28309569283699,0.18842763507117827,0.0003,0.2,0.2687646484375,0.033854711800813675,0.03203041
947,23864,184,22609920,1363.258,380.1333333333333,-0.00567663380968952,0.8835210651159286,1830,-2.276889630885174,0.17225708332776168,0.0003,0.2,0.27091064453125,0.02982696145772934,0.033103324
947,23992,185,22732800,1191.5371,329.53333333333336,-0.005597267399195213,0.8644255548715591,1840,-2.2643060267902912,0.17075268430256985,0.0003,0.2,0.27074869791666667,0.05891077220439911,0.031815056
947,24121,186,22855680,1381.8062,387.6,-0.005170920576656499,0.8513113409280777,1850,-2.2352943522979816,0.1709121023005961,0.0003,0.2,0.26897705078125,0.006120715290307999,0.031829882
947,24253,187,22978560,1267.6443,347.46666666666664,-0.0043181227318079135,0.8616865426301956,1860,-2.2510429297698042,0.21156887275215316,0.0003,0.2,0.26850016276041666,0.0401238352060318,0.03222877
947,24382,188,23101440,1492.9208,417.6666666666667,-0.004749314787786716,0.87565628439188,1870,-2.229420739958684,0.21696834882333255,0.0003,0.2,0.26737060546875,0.059013593941926956,0.03236394
947,24513,189,23224320,1417.3169,393.8666666666667,-0.005368572650659189,0.868740126490593,1880,-2.1986136600933968,0.21641051178924195,0.0003,0.2,0.2703727213541667,0.02425370365381241,0.033066217
946,24672,190,23347200,1309.0768,357.8666666666667,-0.005072144292498706,0.859186053276062,1890,-2.214774799309671,0.20832771234524747,0.0003,0.2,0.2736995442708333,0.013940814882516861,0.033605177
946,24800,191,23470080,1520.9667,413.8,-0.004942372877091354,0.8721036165952682,1900,-2.1969026461181542,0.21731434699196447,0.0003,0.2,0.2691951497395833,0.18962416052818298,0.032741364
946,24930,192,23592960,1612.3816,444.06666666666666,-0.0045021739525873275,0.852061316370964,1910,-2.2112476312927902,0.19457173875154696,0.0003,0.2,0.26513834635416667,0.037920162081718445,0.031438984
946,25063,193,23715840,1546.7291,430.0,-0.004960234197921333,0.8476619571447372,1920,-2.219733903085192,0.2051300813947455,0.0003,0.2,0.27111653645833333,0.06841257959604263,0.0320848
946,25192,194,23838720,1415.9728,381.8,-0.004774345518114084,0.8513355553150177,1930,-2.2329613589433333,0.16311358774856974,0.0003,0.2,0.26228922526041665,0.05068536847829819,0.031231117
946,25323,195,23961600,1312.5475,355.3333333333333,-0.005089242307185486,0.8562723398208618,1940,-2.2032530857250094,0.19002142241961945,0.0003,0.2,0.2704850260416667,0.08582964539527893,0.03292736
945,25477,196,24084480,1582.4596,443.2,-0.0050620086273738705,0.854360356926918,1950,-2.198773416479429,0.16440303033751358,0.0003,0.2,0.26701253255208335,0.06127024069428444,0.032240454
945,25607,197,24207360,1505.6133,413.4,-0.0053394346174839786,0.8750057443976402,1960,-2.1806154827587307,0.1719238110059329,0.0003,0.2,0.2708447265625,-0.004367532208561897,0.03180555
945,25736,198,24330240,1574.5168,442.8,-0.005047018954525508,0.874419093132019,1970,-2.1917731900388997,0.20711281875206622,0.0003,0.2,0.27124267578125,0.05448198691010475,0.032720324
945,25866,199,24453120,1282.3458,350.2,-0.004811694114453834,0.8537107110023499,1980,-2.185568681303412,0.17061673035825758,0.0003,0.2,0.269267578125,0.04326312243938446,0.032515153
945,25997,200,24576000,1361.8044,384.2,-0.004744409091545094,0.8570618629455566,1990,-2.173463206564387,0.23004731496582584,0.0003,0.2,0.2701725260416667,0.016439341008663177,0.032683942
945,26127,201,24698880,1338.5834,365.8666666666667,-0.005378067771489441,0.8580173403024673,2000,-2.193712455177059,0.19092782710601267,0.0003,0.2,0.27002197265625,0.04382892698049545,0.03302569
945,26257,202,24821760,1486.9897,413.8,-0.004930880241499835,0.8670582622289658,2010,-2.1925032675328353,0.19350055572014146,0.0003,0.2,0.26954508463541665,0.008371073752641678,0.03235472
945,26385,203,24944640,1459.2361,405.8,-0.005325758126570387,0.8866242840886116,2020,-2.1889240072419245,0.18057561345000675,0.0003,0.2,0.2684855143229167,0.02508692443370819,0.032220263
945,26514,204,25067520,1261.187,350.6,-0.0053854610165459844,0.8646555691957474,2030,-2.1992408353462816,0.19533198420268794,0.0003,0.2,0.26814371744791665,0.01997743360698223,0.03239635
945,26644,205,25190400,1223.5177,338.06666666666666,-0.004868034451277102,0.8812685906887054,2040,-2.1874588087511557,0.21449366043467308,0.0003,0.2,0.26922688802083333,0.008496221154928207,0.03295529
945,26774,206,25313280,1450.9427,394.3333333333333,-0.004720235489630795,0.8664674460887909,2050,-2.1728679110420246,0.20134429258139183,0.0003,0.2,0.271689453125,0.10273601114749908,0.034019995
945,26904,207,25436160,1372.7765,386.8666666666667,-0.004279492096075046,0.8910536617040634,2060,-2.1712641987142463,0.23496144797934296,0.0003,0.2,0.26762776692708334,0.16979368031024933,0.032839444
945,27032,208,25559040,1399.3171,381.8666666666667,-0.005128575176192195,0.8799974322319031,2070,-2.157935691755265,0.22212415692891227,0.0003,0.2,0.27062744140625,0.0503164567053318,0.033398468
