2024-03-11 00:42:23.299080
Logging to Training/Logs/TekusReward1-1E-FINAL3cont
loading: TekusReward1-1E-FINAL3
saving: TekusReward1-1E-FINAL3cont
35500000
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.0079     |
|    value_loss           | 0.265       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 410        |
|    ep_rew_mean          | 1308.0286  |
| time/                   |            |
|    fps                  | 621        |
|    iterations           | 30         |
|    time_elapsed         | 5932       |
|    total_timesteps      | 3686400    |
| train/                  |            |
|    approx_kl            | 0.08719909 |
|    clip_fraction        | 0.215      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.643     |
|    explained_variance   | 0.832      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.0298    |
|    n_updates            | 9560       |
|    policy_gradient_loss | -0.0079    |
|    value_loss           | 0.0788     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 425        |
|    ep_rew_mean          | 1420.433   |
| time/                   |            |
|    fps                  | 620        |
|    iterations           | 31         |
|    time_elapsed         | 6134       |
|    total_timesteps      | 3809280    |
| train/                  |            |
|    approx_kl            | 0.09258833 |
|    clip_fraction        | 0.213      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.646     |
|    explained_variance   | 0.848      |
|    learning_rate        | 0.0002     |
|    loss                 | -0.0135    |
|    n_updates            | 9570       |
|    policy_gradient_loss | -0.00789   |
|    value_loss           | 0.0764     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 425        |
|    ep_rew_mean          | 1389.5637  |
| time/                   |            |
|    fps                  | 620        |
|    iterations           | 32         |
|    time_elapsed         | 6336       |
|    total_timesteps      | 3932160    |
| train/                  |            |
|    approx_kl            | 0.08733503 |
|    clip_fraction        | 0.213      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.643     |
|    explained_variance   | 0.848      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.103      |
|    n_updates            | 9580       |
|    policy_gradient_loss | -0.00824   |
|    value_loss           | 0.0595     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 429         |
|    ep_rew_mean          | 1437.3622   |
| time/                   |             |
|    fps                  | 620         |
|    iterations           | 33          |
|    time_elapsed         | 6539        |
|    total_timesteps      | 4055040     |
| train/                  |             |
|    approx_kl            | 0.092456505 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.643      |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.106       |
|    n_updates            | 9590        |
|    policy_gradient_loss | -0.00723    |
|    value_loss           | 0.0768      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 373       |
|    ep_rew_mean          | 1245.7866 |
| time/                   |           |
|    fps                  | 619       |
|    iterations           | 34        |
|    time_elapsed         | 6744      |
|    total_timesteps      | 4177920   |
| train/                  |           |
|    approx_kl            | 0.0890704 |
|    clip_fraction        | 0.218     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.651    |
|    explained_variance   | 0.86      |
|    learning_rate        | 0.0002    |
|    loss                 | -0.00882  |
|    n_updates            | 9600      |
|    policy_gradient_loss | -0.00795  |
|    value_loss           | 0.073     |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 410       |
|    ep_rew_mean          | 1432.0273 |
| time/                   |           |
|    fps                  | 618       |
|    iterations           | 35        |
|    time_elapsed         | 6948      |
|    total_timesteps      | 4300800   |
| train/                  |           |
|    approx_kl            | 0.0847983 |
|    clip_fraction        | 0.214     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.65     |
|    explained_variance   | 0.877     |
|    learning_rate        | 0.0002    |
|    loss                 | -0.00176  |
|    n_updates            | 9610      |
|    policy_gradient_loss | -0.00779  |
|    value_loss           | 0.0726    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 439         |
|    ep_rew_mean          | 1480.6594   |
| time/                   |             |
|    fps                  | 618         |
|    iterations           | 36          |
|    time_elapsed         | 7152        |
|    total_timesteps      | 4423680     |
| train/                  |             |
|    approx_kl            | 0.084973805 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.649      |
|    explained_variance   | 0.875       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00175    |
|    n_updates            | 9620        |
|    policy_gradient_loss | -0.00774    |
|    value_loss           | 0.0672      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 408         |
|    ep_rew_mean          | 1432.2893   |
| time/                   |             |
|    fps                  | 617         |
|    iterations           | 37          |
|    time_elapsed         | 7358        |
|    total_timesteps      | 4546560     |
| train/                  |             |
|    approx_kl            | 0.094161555 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.647      |
|    explained_variance   | 0.837       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0435      |
|    n_updates            | 9630        |
|    policy_gradient_loss | -0.00665    |
|    value_loss           | 0.0824      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 384         |
|    ep_rew_mean          | 1363.099    |
| time/                   |             |
|    fps                  | 617         |
|    iterations           | 38          |
|    time_elapsed         | 7562        |
|    total_timesteps      | 4669440     |
| train/                  |             |
|    approx_kl            | 0.095889345 |
|    clip_fraction        | 0.217       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.639      |
|    explained_variance   | 0.843       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.00708     |
|    n_updates            | 9640        |
|    policy_gradient_loss | -0.00729    |
|    value_loss           | 0.0671      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 416        |
|    ep_rew_mean          | 1419.1945  |
| time/                   |            |
|    fps                  | 616        |
|    iterations           | 39         |
|    time_elapsed         | 7768       |
|    total_timesteps      | 4792320    |
| train/                  |            |
|    approx_kl            | 0.09000028 |
|    clip_fraction        | 0.22       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.643     |
|    explained_variance   | 0.85       |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0486     |
|    n_updates            | 9650       |
|    policy_gradient_loss | -0.00523   |
|    value_loss           | 0.0803     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 428         |
|    ep_rew_mean          | 1422.4479   |
| time/                   |             |
|    fps                  | 616         |
|    iterations           | 40          |
|    time_elapsed         | 7971        |
|    total_timesteps      | 4915200     |
| train/                  |             |
|    approx_kl            | 0.096081495 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.646      |
|    explained_variance   | 0.87        |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0224      |
|    n_updates            | 9660        |
|    policy_gradient_loss | -0.00742    |
|    value_loss           | 0.0786      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1549.4304   |
| time/                   |             |
|    fps                  | 616         |
|    iterations           | 41          |
|    time_elapsed         | 8176        |
|    total_timesteps      | 5038080     |
| train/                  |             |
|    approx_kl            | 0.088423364 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.651      |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.0002      |
|    loss                 | 0.0127      |
|    n_updates            | 9670        |
|    policy_gradient_loss | -0.00759    |
|    value_loss           | 0.0758      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 387        |
|    ep_rew_mean          | 1369.1271  |
| time/                   |            |
|    fps                  | 615        |
|    iterations           | 42         |
|    time_elapsed         | 8380       |
|    total_timesteps      | 5160960    |
| train/                  |            |
|    approx_kl            | 0.09438643 |
|    clip_fraction        | 0.221      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.649     |
|    explained_variance   | 0.856      |
|    learning_rate        | 0.0002     |
|    loss                 | 0.0199     |
|    n_updates            | 9680       |
|    policy_gradient_loss | -0.00778   |
|    value_loss           | 0.081      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 423         |
|    ep_rew_mean          | 1460.8788   |
| time/                   |             |
|    fps                  | 615         |
|    iterations           | 43          |
|    time_elapsed         | 8585        |
|    total_timesteps      | 5283840     |
| train/                  |             |
|    approx_kl            | 0.100505546 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.646      |
|    explained_variance   | 0.873       |
|    learning_rate        | 0.0002      |
|    loss                 | -0.00229    |
|    n_updates            | 9690        |
|    policy_gradient_loss | -0.00793    |
|    value_loss           | 0.0685      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 430        |
|    ep_rew_mean          | 1487.1392  |
| time/                   |            |
|    fps                  | 615        |
|    iterations           | 44         |
|    time_elapsed         | 8787       |
|    total_timesteps      | 5406720    |
| train/                  |            |
|    approx_kl            | 0.09839838 |
