2024-02-18 19:00:10.618245
Logging to Training/Logs/TekusRewardOne-OneC
----------------------------------
| rollout/           |           |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1131.4744   |
| time/                   |             |
|    fps                  | 934         |
|    iterations           | 27          |
|    time_elapsed         | 3551        |
|    total_timesteps      | 3317760     |
| train/                  |             |
|    approx_kl            | 0.012841391 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.24       |
|    explained_variance   | 0.792       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0429      |
|    n_updates            | 3520        |
|    policy_gradient_loss | -0.000743   |
|    value_loss           | 0.108       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1161.0917   |
| time/                   |             |
|    fps                  | 933         |
|    iterations           | 28          |
|    time_elapsed         | 3686        |
|    total_timesteps      | 3440640     |
| train/                  |             |
|    approx_kl            | 0.017589033 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.16       |
|    explained_variance   | 0.842       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.011       |
|    n_updates            | 3530        |
|    policy_gradient_loss | -0.000934   |
|    value_loss           | 0.0837      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1159.1206   |
| time/                   |             |
|    fps                  | 932         |
|    iterations           | 29          |
|    time_elapsed         | 3821        |
|    total_timesteps      | 3563520     |
| train/                  |             |
|    approx_kl            | 0.020053864 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.22       |
|    explained_variance   | 0.71        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0499      |
|    n_updates            | 3540        |
|    policy_gradient_loss | -0.000587   |
|    value_loss           | 0.11        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 450       |
|    ep_rew_mean          | 1129.54   |
| time/                   |           |
|    fps                  | 928       |
|    iterations           | 30        |
|    time_elapsed         | 3969      |
|    total_timesteps      | 3686400   |
| train/                  |           |
|    approx_kl            | 0.0124177 |
|    clip_fraction        | 0.115     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.2      |
|    explained_variance   | 0.779     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.0872    |
|    n_updates            | 3550      |
|    policy_gradient_loss | -0.00129  |
|    value_loss           | 0.0984    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1121.9882   |
| time/                   |             |
|    fps                  | 927         |
|    iterations           | 31          |
|    time_elapsed         | 4105        |
|    total_timesteps      | 3809280     |
| train/                  |             |
|    approx_kl            | 0.014809024 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.19       |
|    explained_variance   | 0.792       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0684      |
|    n_updates            | 3560        |
|    policy_gradient_loss | -0.000689   |
|    value_loss           | 0.106       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1179.1266   |
| time/                   |             |
|    fps                  | 927         |
|    iterations           | 32          |
|    time_elapsed         | 4240        |
|    total_timesteps      | 3932160     |
| train/                  |             |
|    approx_kl            | 0.012654674 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | 0.761       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0328      |
|    n_updates            | 3570        |
|    policy_gradient_loss | -0.000631   |
|    value_loss           | 0.117       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1192.9331   |
| time/                   |             |
|    fps                  | 926         |
|    iterations           | 33          |
|    time_elapsed         | 4376        |
|    total_timesteps      | 4055040     |
| train/                  |             |
|    approx_kl            | 0.015766418 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.22       |
|    explained_variance   | 0.878       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0223      |
|    n_updates            | 3580        |
|    policy_gradient_loss | -0.00159    |
|    value_loss           | 0.0666      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1193.9143   |
| time/                   |             |
|    fps                  | 926         |
|    iterations           | 34          |
|    time_elapsed         | 4511        |
|    total_timesteps      | 4177920     |
| train/                  |             |
|    approx_kl            | 0.013308171 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.25       |
|    explained_variance   | 0.8         |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0379      |
|    n_updates            | 3590        |
|    policy_gradient_loss | -0.00043    |
|    value_loss           | 0.116       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1212.0381   |
| time/                   |             |
|    fps                  | 922         |
|    iterations           | 35          |
|    time_elapsed         | 4662        |
|    total_timesteps      | 4300800     |
| train/                  |             |
|    approx_kl            | 0.013297396 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.22       |
|    explained_variance   | 0.821       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0406      |
|    n_updates            | 3600        |
|    policy_gradient_loss | -0.000574   |
|    value_loss           | 0.0993      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1181.3138   |
| time/                   |             |
|    fps                  | 916         |
|    iterations           | 36          |
|    time_elapsed         | 4825        |
|    total_timesteps      | 4423680     |
| train/                  |             |
|    approx_kl            | 0.014290493 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | 0.801       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0325      |
|    n_updates            | 3610        |
|    policy_gradient_loss | -0.000354   |
|    value_loss           | 0.115       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1171.0356   |
| time/                   |             |
|    fps                  | 916         |
|    iterations           | 37          |
|    time_elapsed         | 4960        |
|    total_timesteps      | 4546560     |
| train/                  |             |
|    approx_kl            | 0.012557953 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.31       |
|    explained_variance   | 0.808       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0207      |
|    n_updates            | 3620        |
|    policy_gradient_loss | -0.00106    |
|    value_loss           | 0.09        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1219.4102   |
| time/                   |             |
|    fps                  | 916         |
|    iterations           | 38          |
|    time_elapsed         | 5096        |
|    total_timesteps      | 4669440     |
| train/                  |             |
|    approx_kl            | 0.013705235 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.28       |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0544      |
|    n_updates            | 3630        |
|    policy_gradient_loss | -0.000785   |
|    value_loss           | 0.102       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1162.3737   |
| time/                   |             |
|    fps                  | 916         |
|    iterations           | 39          |
|    time_elapsed         | 5231        |
|    total_timesteps      | 4792320     |
| train/                  |             |
|    approx_kl            | 0.014055153 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.29       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00276    |
|    n_updates            | 3640        |
|    policy_gradient_loss | -0.00104    |
|    value_loss           | 0.08        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 450         |
|    ep_rew_mean          | 1173.4738   |
| time/                   |             |
|    fps                  | 916         |
|    iterations           | 40          |
|    time_elapsed         | 5365        |
|    total_timesteps      | 4915200     |
| train/                  |             |
|    approx_kl            | 0.014978293 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.26       |
|    explained_variance   | 0.84        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00405    |
|    n_updates            | 3650        |
|    policy_gradient_loss | -0.00107    |
|    value_loss           | 0.094       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 450        |
|    ep_rew_mean          | 1114.2925  |
| time/                   |            |
|    fps                  | 915        |
|    iterations           | 41         |
|    time_elapsed         | 5501       |
|    total_timesteps      | 5038080    |
| train/                  |            |
|    approx_kl            | 0.01772616 |
|    clip_fraction        | 0.104      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.28      |
|    explained_variance   | 0.834      |
|    learning_rate        | 0.0003     |
