time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/policy_gradient_loss
5914,398.5484,450.0,976,47,5775360,0.24546223958333332,-0.02208823896944523,0.022105329,0.0003,0.09388076849063509,0.3405110239982605,-3.6884156068662803,0.2,460,-0.006238128808945476
6041,404.10715,445.32,976,48,5898240,0.24467692057291668,0.03572547808289528,0.022664763,0.0003,0.09121876437658405,0.3977830410003662,-3.6720234287157654,0.2,470,-0.006569654064836262
6168,402.55414,450.0,976,49,6021120,0.24994710286458333,-0.011057334020733833,0.022814523,0.0003,0.09543062468287342,0.3101728558540344,-3.649125270371636,0.2,480,-0.006789566359845291
6308,390.00586,445.06,973,50,6144000,0.24748046875,0.01581074856221676,0.022392059,0.0003,0.09069756427183165,0.4571136236190796,-3.63329648801436,0.2,490,-0.006875692104331393
6434,401.1327,450.0,974,51,6266880,0.24492594401041667,0.01127796433866024,0.022680283,0.0003,0.08574160800873264,0.44489991664886475,-3.6316069698209565,0.2,500,-0.0072337293917553325
6562,389.77496,447.36,973,52,6389760,0.24548990885416666,-0.012935768812894821,0.023126047,0.0003,0.08588703408900376,0.4987698793411255,-3.643056066383918,0.2,510,-0.007015878096760086
6702,398.4468,442.26,971,53,6512640,0.24779459635416667,0.061387158930301666,0.022390373,0.0003,0.08657691272184213,0.4216994047164917,-3.631136194852491,0.2,520,-0.006380560090923003
6831,412.82364,450.0,971,54,6635520,0.24741048177083333,0.06179497018456459,0.022913137,0.0003,0.08669557939249595,0.4227929711341858,-3.6450726874545216,0.2,530,-0.006692082340311269
6959,407.25262,450.0,971,55,6758400,0.2512451171875,-0.011041436344385147,0.022616057,0.0003,0.0869872838202961,0.4565906524658203,-3.638117510527372,0.2,540,-0.00671857963635072
7088,409.19763,450.0,970,56,6881280,0.24950846354166667,0.07403063774108887,0.022417624,0.0003,0.0896852635096487,0.31717926263809204,-3.6327202320843934,0.2,550,-0.0065390098938041775
