rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_range,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction
1345.1056,350.2,126,767,15482880,20164,0.2,0.13639624,1250,0.1065402552485466,0.0002,-1.6810495518582562,-0.012113165531694297,0.654872328042984,0.11349578953794359,0.49020833333333336
1513.2458,397.6,127,767,15605760,20331,0.2,0.13668677,1260,-0.017287641763687134,0.0002,-1.6935812336641054,-0.012771994258279544,0.6484128534793854,0.11079202194164585,0.49260579427083334
1541.2303,417.53333333333336,128,767,15728640,20493,0.2,0.13542482,1270,0.09265291690826416,0.0002,-1.6903470812862118,-0.012253110765511034,0.6428092122077942,0.11031567093896835,0.49095947265625
1383.3456,365.8666666666667,129,767,15851520,20657,0.2,0.1399391,1280,0.04337393864989281,0.0002,-1.6909488431612651,-0.013369580706100047,0.657867819070816,0.10721388622439311,0.4945174153645833
1602.144,428.26666666666665,130,767,15974400,20822,0.2,0.13805294,1290,0.039150528609752655,0.0002,-1.6636734375357627,-0.01233739371249006,0.6239656209945679,0.1132919641249464,0.49203125
1562.7892,421.93333333333334,131,767,16097280,20986,0.2,0.13790162,1300,-0.022924985736608505,0.0002,-1.6743556147441268,-0.01216361991792534,0.6523657441139221,0.1103730688598201,0.4906494140625
1412.2906,368.3333333333333,132,766,16220160,21150,0.2,0.14586547,1310,-0.027027219533920288,0.0002,-1.642566695914914,-0.01196922647079191,0.6417830884456635,0.11788886945995425,0.493232421875
1576.7269,421.46666666666664,133,766,16343040,21313,0.2,0.14400078,1320,-0.012568313628435135,0.0002,-1.6359215276377896,-0.012470289392634488,0.6164288520812988,0.11578709981617673,0.4946630859375
1281.1521,338.53333333333336,134,766,16465920,21479,0.2,0.14102405,1330,0.044317618012428284,0.0002,-1.6291839362929266,-0.011556401285870379,0.6030498445034027,0.12216757404064993,0.48949462890625
1310.8231,353.06666666666666,135,766,16588800,21643,0.2,0.13960645,1340,-0.004415687173604965,0.0002,-1.617387794367969,-0.012384207655171243,0.6340052783489227,0.11511470143702657,0.4874959309895833
