time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/value_loss
8847360,72,428.74,1308.0851,9195,962,0.025838377,0.8470138013362885,0.25360758463541666,0.2,710,0.010156150907278061,-0.008482917848840164,0.0003,-3.5763420468817153,0.1063502393074062
8970240,73,437.58,1307.0724,9323,962,0.02640369,0.8542816489934921,0.25847819010416667,0.2,720,0.034385133534669876,-0.007481187764054388,0.0003,-3.5722325111056366,0.14260361287927178
9093120,74,435.46,1314.2241,9452,962,0.025739795,0.8900552317500114,0.2549267578125,0.2,730,0.06089287996292114,-0.0080417558497417,0.0003,-3.567144666189949,0.11088859055288292
9216000,75,434.02,1309.4069,9581,961,0.025146782,0.885242149233818,0.2552335611979167,0.2,740,0.01428872998803854,-0.008654650495172974,0.0003,-3.572759792904059,0.10673659390071406
9338880,76,444.14,1359.646,9710,961,0.026217425,0.8662663698196411,0.2584073893229167,0.2,750,0.12655480206012726,-0.008516285404924323,0.0003,-3.568396823965013,0.11065506751464757
9461760,77,444.7,1375.7621,9836,961,0.024743533,0.8841700106859207,0.2506941731770833,0.2,760,0.010458335280418396,-0.00842145456312816,0.0003,-3.57129793420434,0.10812756669547526
9584640,78,445.94,1363.3512,9965,961,0.024883648,0.8775901570916176,0.2513582356770833,0.2,770,0.007326044142246246,-0.00792795282427202,0.0003,-3.5751497946307063,0.10985374382832863
9707520,79,450.0,1379.3672,10094,961,0.025520585,0.8865185528993607,0.25597493489583334,0.2,780,0.038319170475006104,-0.008118697731988504,0.0003,-3.539480142407119,0.1025021717850177
9830400,80,438.0,1363.9219,10221,961,0.0263815,0.8643705993890762,0.2560628255208333,0.2,790,0.004226803779602051,-0.007951076824762518,0.0003,-3.534494705038766,0.13445405987479414
9953280,81,445.22,1383.0294,10349,961,0.026519585,0.8391778469085693,0.2604549153645833,0.2,800,0.06939265131950378,-0.008156352556288765,0.0003,-3.5145635698611537,0.14297718968407327
10076160,82,420.88,1317.9042,10476,961,0.026009826,0.8522870540618896,0.25842936197916666,0.2,810,0.005089936777949333,-0.007749578790705224,0.0003,-3.5067307159801326,0.1163588711230356
10199040,83,448.32,1397.8562,10604,961,0.026634332,0.8922150358557701,0.25899820963541664,0.2,820,0.05483510345220566,-0.00789680026769626,0.0003,-3.5063072485352555,0.14791928464197554
10321920,84,438.04,1357.2845,10731,961,0.025479376,0.8757246062159538,0.2523347981770833,0.2,830,-0.022135645151138306,-0.007741390389577039,0.0003,-3.49946972074608,0.11637140480112672
10444800,85,445.66,1390.468,10857,961,0.026151318,0.8364167809486389,0.2544832356770833,0.2,840,0.00028846971690654755,-0.008034362900810568,0.0003,-3.523649155832827,0.12426956603342357
10567680,86,444.82,1373.2401,10984,962,0.026158478,0.8518116325139999,0.2525528971354167,0.2,850,0.01159495860338211,-0.008464281805166441,0.0003,-3.516202990412712,0.1299508643959416
10690560,87,447.22,1403.0721,11110,962,0.02620628,0.8554985821247101,0.25650227864583336,0.2,860,0.06208337843418121,-0.008572123389352176,0.0003,-3.5137487402558327,0.13830504243863592
10813440,88,442.62,1394.6542,11239,962,0.025762817,0.8298963755369186,0.25495035807291666,0.2,870,0.008690638467669487,-0.008257016707436076,0.0003,-3.490852074337502,0.14647239518080218
10936320,89,450.0,1402.5015,11366,962,0.025718475,0.8568513244390488,0.2523494466145833,0.2,880,0.006371974945068359,-0.008237961378587594,0.0003,-3.4905722947915394,0.12832533753098688
11059200,90,445.16,1391.4971,11495,962,0.025419628,0.7902893573045731,0.251064453125,0.2,890,0.013652382418513298,-0.008065834612613496,0.0003,-3.498060034600397,0.11638942839325561
11182080,91,446.1,1419.4803,11623,961,0.025378589,0.8057976365089417,0.24850260416666667,0.2,900,0.029299281537532806,-0.007951511780244497,0.0003,-3.5079219330474736,0.12674667484796373
