time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate,train/approx_kl,train/loss
965,1568.3373,18972,18309120,149,439.46666666666664,-2.7164905404051143,-0.0060317468991737165,0.8824879750609398,0.2,0.11736020031928396,1480,0.27251302083333334,0.0003,0.031564943,-0.002299793064594269
964,1496.1007,19101,18432000,150,415.4,-2.7194170520454644,-0.006792021944150595,0.8905885294079781,0.2,0.10673976011389943,1490,0.27244222005208335,0.0003,0.030956157,0.03688359633088112
964,1540.9454,19229,18554880,151,417.6666666666667,-2.7402330102647343,-0.00654706871131566,0.8902685269713402,0.2,0.10289569530063697,1500,0.26855550130208333,0.0003,0.030693138,0.1273013800382614
964,1473.8585,19357,18677760,152,404.6,-2.7199731799711784,-0.006355161223497514,0.8760309219360352,0.2,0.08708932121255203,1510,0.26754313151041664,0.0003,0.029951068,0.037542134523391724
964,1440.3757,19485,18800640,153,393.46666666666664,-2.692856341128548,-0.006421866438204233,0.8653505444526672,0.2,0.11419971457648595,1520,0.2695003255208333,0.0003,0.031093914,0.028848223388195038
964,1599.5629,19615,18923520,154,435.06666666666666,-2.686866625783344,-0.006181390635035011,0.8995306715369225,0.2,0.10667900271097702,1530,0.2669368489583333,0.0003,0.030355258,0.05982709676027298
964,1417.0463,19743,19046400,155,391.1333333333333,-2.697753198705614,-0.006412038032522105,0.8951236605644226,0.2,0.09793015728360235,1540,0.26962727864583336,0.0003,0.030454747,0.03186938539147377
964,1603.9417,19872,19169280,156,437.1333333333333,-2.6966236550857623,-0.00652387576395995,0.9128733351826668,0.2,0.10791332208566018,1550,0.27263997395833334,0.0003,0.031439774,-0.008877523243427277
964,1577.8118,20001,19292160,157,423.6666666666667,-2.7014125263566773,-0.006236694684357644,0.902787484228611,0.2,0.12130507438390244,1560,0.27334147135416664,0.0003,0.031515744,0.07539530098438263
963,1508.2352,20159,19415040,158,414.0,-2.7177272214740515,-0.006348867997536824,0.8751006424427032,0.2,0.09573169801655847,1570,0.26734537760416666,0.0003,0.030229611,0.024004612118005753
963,1623.2438,20287,19537920,159,442.73333333333335,-2.6783932471151153,-0.006383698776438298,0.8869429379701614,0.2,0.10389557178394171,1580,0.27179606119791666,0.0003,0.030475827,0.09300244599580765
963,1498.721,20415,19660800,160,416.2,-2.671371648199856,-0.006509793733130209,0.8790128603577614,0.2,0.09430981484886919,1590,0.26645833333333335,0.0003,0.030588066,0.05604197084903717
961,1559.7188,20569,19783680,161,432.06666666666666,-2.691707414823274,-0.005989828487836349,0.8808793947100639,0.2,0.10119053015208919,1600,0.27149169921875,0.0003,0.032017194,0.029328592121601105
960,1547.5789,20726,19906560,162,430.26666666666665,-2.6512105357895295,-0.006148661135915366,0.9155084043741226,0.2,0.11159876982734811,1610,0.26812825520833333,0.0003,0.03074112,0.001439505722373724
960,1486.5104,20853,20029440,163,410.26666666666665,-2.6712330059334635,-0.006484024425735697,0.8942098394036293,0.2,0.10815489467951314,1620,0.26743733723958335,0.0003,0.03058478,-0.0032647699117660522
959,1531.2073,21009,20152320,164,411.3333333333333,-2.670160406741003,-0.0066912782559605454,0.8978239297866821,0.2,0.11172435072333126,1630,0.27407633463541664,0.0003,0.03128015,0.033790335059165955
959,1617.4016,21136,20275200,165,441.2,-2.678534201507767,-0.006189080635182715,0.8887845873832703,0.2,0.1034996022923345,1640,0.27047526041666664,0.0003,0.03125859,0.037216998636722565
959,1500.1882,21263,20398080,166,414.2,-2.6784923152128854,-0.005907457835989286,0.8608524948358536,0.2,0.1020582657798756,1650,0.26851481119791665,0.0003,0.03085556,0.02078436128795147
959,1485.8639,21391,20520960,167,399.4,-2.673764747257034,-0.006060112112778977,0.8951843902468681,0.2,0.10356476652440809,1660,0.26795572916666666,0.0003,0.030972756,0.01766408607363701
959,1608.3251,21517,20643840,168,442.8666666666667,-2.6443095083286363,-0.005797453259347094,0.8973424360156059,0.2,0.1017732501780362,1670,0.2658512369791667,0.0003,0.030781263,0.021731872111558914
959,1343.8485,21644,20766720,169,362.46666666666664,-2.6357529593259095,-0.00534759532892167,0.8902943655848503,0.2,0.1079097959039791,1680,0.27039469401041666,0.0003,0.030462574,0.019966784864664078
