rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/loss
1419.3953,977,8110080,8295,66,422.22,0.7950524389743805,650,0.2,0.10955247445463707,0.02747889,-0.008634198159955607,0.2748974609375,-3.431095783126851,0.0003,0.04078690707683563
1501.5253,977,8232960,8423,67,442.68,0.8032884299755096,660,0.2,0.100110564166777,0.026747253,-0.008871275121637155,0.2726643880208333,-3.443419813675185,0.0003,0.010286854580044746
1485.7214,977,8355840,8550,68,441.16,0.7979110032320023,670,0.2,0.10159913419901083,0.02693521,-0.008439389967970784,0.27164794921875,-3.4268293041860063,0.0003,0.01791897416114807
1477.8152,977,8478720,8676,69,439.66,0.7859165221452713,680,0.2,0.11460285401951599,0.028179381,-0.008317498539411949,0.27356526692708333,-3.405645845644176,0.0003,0.0314163975417614
1386.8639,977,8601600,8802,70,414.04,0.7882124781608582,690,0.2,0.10618618887892808,0.027837906,-0.008483960042467516,0.2767464192708333,-3.4056664288416503,0.0003,-0.004037754610180855
1436.3337,977,8724480,8929,71,426.14,0.7924620807170868,700,0.2,0.10596314122279485,0.027602466,-0.0078010489373446035,0.27544759114583334,-3.3858175937086346,0.0003,0.0288056880235672
1468.8499,977,8847360,9055,72,432.08,0.8366583436727524,710,0.2,0.09579538840955744,0.028507205,-0.008944961209726899,0.27896809895833335,-3.3950305847326914,0.0003,0.04940767213702202
1473.4819,977,8970240,9181,73,442.2,0.8264079391956329,720,0.2,0.09909870430458492,0.028712682,-0.009539366912467812,0.2808333333333333,-3.401259256216387,0.0003,0.006407344713807106
1444.8777,976,9093120,9307,74,432.3,0.784334808588028,730,0.2,0.10214790846444279,0.0284699,-0.008855575743461182,0.2780843098958333,-3.371766980898877,0.0003,0.031495243310928345
1404.7867,976,9216000,9434,75,423.3,0.8155243992805481,740,0.2,0.09525038370940213,0.0281413,-0.008543615388371109,0.27608805338541664,-3.381339244234065,0.0003,-0.006756925955414772
1441.4454,976,9338880,9561,76,433.62,0.8181146681308746,750,0.2,0.09773652367458756,0.028100949,-0.008939192593770713,0.27715413411458334,-3.3603768411527075,0.0003,0.05689935013651848
1443.006,976,9461760,9689,77,432.66,0.8202342838048935,760,0.2,0.09169375047475721,0.028380541,-0.00880642015991422,0.2801920572916667,-3.353794833657642,0.0003,0.015246865339577198
1456.7394,976,9584640,9817,78,432.16,0.8197406679391861,770,0.2,0.09831242326598537,0.028234048,-0.008838027134070217,0.27704264322916666,-3.3555666928490004,0.0003,0.05348827689886093
1444.9353,976,9707520,9943,79,422.02,0.8089072406291962,780,0.2,0.10010603698397366,0.028475039,-0.008305961342781908,0.2775773111979167,-3.362819226520757,0.0003,0.08079519867897034
1501.4307,976,9830400,10070,80,444.8,0.8040328621864319,790,0.2,0.10887493261951021,0.027687628,-0.008258397415681126,0.27496500651041667,-3.3691707161441444,0.0003,0.04762764647603035
1524.9198,976,9953280,10197,81,442.04,0.8093456029891968,800,0.2,0.09357920541219453,0.027624646,-0.008050704509823845,0.2757364908854167,-3.3543768525496125,0.0003,-0.015797924250364304
1505.9233,976,10076160,10322,82,444.6,0.7783048152923584,810,0.2,0.1018732529975629,0.02891665,-0.008799428909223934,0.27994222005208336,-3.3721862341463567,0.0003,0.0244987141340971
1462.8096,975,10199040,10450,83,428.68,0.7856330424547195,820,0.2,0.10439994405009202,0.027925821,-0.008289592928510198,0.271025390625,-3.3727317417909704,0.0003,0.017309054732322693
1475.2903,975,10321920,10576,84,434.78,0.7954931110143661,830,0.2,0.10061051337936078,0.027459797,-0.008603110479956134,0.27053141276041665,-3.3874076405043403,0.0003,0.021367963403463364
1438.8285,975,10444800,10704,85,421.12,0.8123640418052673,840,0.2,0.10188779731106479,0.028143695,-0.008955496820732756,0.273818359375,-3.3692854750156402,0.0003,0.014215986244380474
1558.045,975,10567680,10832,86,449.94,0.8124549984931946,850,0.2,0.10204107293863975,0.02767741,-0.00879890582512265,0.274970703125,-3.365533031138281,0.0003,0.03417102247476578
1523.4667,975,10690560,10958,87,447.14,0.8091179728507996,860,0.2,0.11184234343983311,0.02787379,-0.008425769873368457,0.27417561848958333,-3.3872868304823838,0.0003,0.10043279826641083
1508.4165,975,10813440,11085,88,436.02,0.7888748049736023,870,0.2,0.09924134167085867,0.027406935,-0.008181665983302082,0.27041422526041664,-3.353135507640739,0.0003,0.028528140857815742
