time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/value_loss,train/loss,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction
50,268,8192000,450.0,30477,563.7022,4.764842742588371e-11,0.0,0.7472928762435913,0.10973379522198229,0.007977097295224667,0.2,0.0003,490,-2.812561543916305e-17,0.0
51,268,8355840,450.0,31107,569.04913,-1.6045078155002556e-10,0.0,0.7639866322278976,0.09357163973121714,0.03914780169725418,0.2,0.0003,500,-3.3640057839611965e-17,0.0
52,268,8519680,450.0,31738,558.8309,-2.8740032576024534e-12,0.0,0.7028684914112091,0.11393512819580792,0.05165404826402664,0.2,0.0003,510,-3.5194671701892765e-17,0.0
53,268,8683520,450.0,32360,578.87384,-8.755478120292537e-11,0.0,0.7303797006607056,0.09549095519225376,0.04128974303603172,0.2,0.0003,520,-2.731063833625905e-17,0.0
54,268,8847360,450.0,32993,575.8127,1.062909404936363e-10,0.0,0.6675241887569427,0.11791721424036951,0.049193598330020905,0.2,0.0003,530,-2.2796523107813916e-17,0.0
55,267,9011200,450.0,33628,564.2354,-9.020141078508459e-11,0.0,0.7305528819561005,0.0957222067472685,0.045021504163742065,0.2,0.0003,540,-2.401356307645841e-17,0.0
56,267,9175040,450.0,34264,558.6438,-7.57381712901406e-12,0.0,0.7424473464488983,0.11745133381660708,0.025727245956659317,0.2,0.0003,550,-2.4612807037027504e-17,0.0
57,267,9338880,450.0,34895,571.06805,-1.1016709322575479e-10,0.0,0.7915726900100708,0.0881834691903714,0.04948483034968376,0.2,0.0003,560,-2.039569702442536e-17,0.0
58,267,9502720,450.0,35521,562.25073,1.0190433386014775e-10,0.0,0.7498348653316498,0.11232498950303124,0.09355078637599945,0.2,0.0003,570,-3.1568058129497246e-17,0.0
59,267,9666560,450.0,36172,554.43243,-1.0231815394945443e-13,0.0,0.7936615198850632,0.10179562797828112,0.09216603636741638,0.2,0.0003,580,-2.1019208240201258e-17,0.0
60,267,9830400,450.0,36806,566.75934,-2.4855353331076912e-11,0.0,0.7653306424617767,0.10964993203173436,0.07143325358629227,0.2,0.0003,590,-2.6044931167244756e-17,0.0
61,266,9994240,450.0,37433,559.0671,-1.0563780961092562e-11,0.0,0.7473244667053223,0.1102303017173108,0.03633469343185425,0.2,0.0003,600,-3.6372016226876836e-17,0.0
62,266,10158080,450.0,38063,564.68567,-9.284804036724382e-11,0.0,0.773068442940712,0.09416878752583216,0.05293465405702591,0.2,0.0003,610,-2.6949720666405996e-17,0.0
63,266,10321920,450.0,38690,564.44867,-1.5260752661561127e-10,0.0,0.7876723110675812,0.10360143050618717,0.15277519822120667,0.2,0.0003,620,-3.299791613562861e-17,0.0
64,266,10485760,450.0,39320,570.9602,8.817664820526261e-11,0.0,0.8017078191041946,0.0876640384548682,0.10452250391244888,0.2,0.0003,630,-2.566799360127044e-17,0.0
65,266,10649600,450.0,39954,562.93463,4.6604782255599275e-11,0.0,0.792971596121788,0.10463860837255197,0.07312916964292526,0.2,0.0003,640,-2.7026251874589424e-17,0.0
66,266,10813440,450.0,40588,574.2528,-4.243929652147926e-12,0.0,0.802434116601944,0.09767523889109725,0.028432393446564674,0.2,0.0003,650,-2.4393004521318915e-17,0.0
67,266,10977280,450.0,41225,571.0448,-5.1279585022712127e-11,0.0,0.727305144071579,0.1170166332435656,0.03447135165333748,0.2,0.0003,660,-3.192942702914364e-17,0.0
68,266,11141120,450.0,41849,573.93713,5.961851456959266e-11,0.0,0.7584956288337708,0.09291881040475346,0.05524367839097977,0.2,0.0003,670,-2.9528588817102115e-17,0.0
69,266,11304960,450.0,42481,560.2132,-1.2270220395294018e-10,0.0,0.7379290163516998,0.1096121906287044,0.046129848808050156,0.2,0.0003,680,-3.063554784659719e-17,0.0
70,266,11468800,450.0,43107,558.95526,9.441009751753882e-11,0.0,0.7294819056987762,0.10934094519760038,0.04581110179424286,0.2,0.0003,690,-3.6391508202023606e-17,0.0
71,266,11632640,450.0,43729,598.17285,4.255980456946418e-11,0.0,0.779245525598526,0.09119743420429587,0.01110844686627388,0.2,0.0003,700,-2.959286626904969e-17,0.0
72,265,11796480,450.0,44361,569.96,-1.9800836525973862e-11,0.0,0.7445587813854218,0.11177509213854137,0.03667103126645088,0.2,0.0003,710,-3.416671954399199e-17,0.0
73,265,11960320,450.0,44996,567.47046,2.7646251510304864e-10,0.0,0.7878365069627762,0.08695594565345345,0.04542355239391327,0.2,0.0003,720,-2.5889097604312115e-17,0.0
74,265,12124160,450.0,45625,558.96893,-7.196604201453738e-11,0.0,0.7368432879447937,0.11336829849495189,0.06408436596393585,0.2,0.0003,730,-3.443401583652185e-17,0.0
75,265,12288000,450.0,46262,571.39923,-1.0167013897444121e-10,0.0,0.7725427150726318,0.09150227461534087,0.02982170507311821,0.2,0.0003,740,-2.4149432479280293e-17,0.0
76,265,12451840,450.0,46892,566.93207,9.493874131294433e-11,0.0,0.7407388091087341,0.11149100245316731,0.04236847162246704,0.2,0.0003,750,-3.132700770301379e-17,0.0
77,265,12615680,450.0,47528,573.6813,2.4567725631641223e-12,0.0,0.7705778330564499,0.0899261556206784,0.07212018221616745,0.2,0.0003,760,-2.1591003949479397e-17,0.0
78,265,12779520,450.0,48157,573.4928,-3.250534064136446e-11,0.0,0.7379308938980103,0.11787040852697828,0.04694884270429611,0.2,0.0003,770,-3.41290510449245e-17,0.0
79,265,12943360,450.0,48788,574.4941,-1.9992285160697065e-10,0.0,0.7756040096282959,0.09455282627290217,0.06962111592292786,0.2,0.0003,780,-3.042603590510711e-17,0.0
